"date","year","month","mean_pet","min_pet","max_pet","std_dev"
"1978-12",1978,12,0.101832439898363,0.0345287531091977,0.190140935502185,0.0365475816679369
"1979-01",1979,1,0.0669459656602304,0.0203635110538176,0.131764805598521,0.0172315641070717
"1979-02",1979,2,0.0166843083523189,0,0.100004925369832,0.0265827818749538
"1979-03",1979,3,3.40515788889946e-05,0,0.0141312857886919,0.000588318768372845
"1979-04",1979,4,0.0408987970335316,0,0.154994004382627,0.0414448644083503
"1979-05",1979,5,0.145569628621617,0,0.36020420466709,0.093213401209401
"1979-06",1979,6,0.36532079903878,0,0.749283360398623,0.179105149340266
"1979-07",1979,7,0.228839931909547,0,0.517909933956079,0.131474313924973
"1979-08",1979,8,0.288046903800697,0.0203983567105762,0.56401170782886,0.120879227153517
"1979-09",1979,9,0.323635912112665,0.168516075400391,0.618040526004933,0.0845401572824273
"1979-10",1979,10,0.236612057646502,0.122522679899576,0.46454677645989,0.0699625524099008
"1979-11",1979,11,0.194541036306587,0.105073325772436,0.441878892428645,0.0661604946724693
"1979-12",1979,12,0.106231635991987,0.0135912831457473,0.218017445802042,0.0422475265192345
"1980-01",1980,1,0.0963645655860351,0.0502219709496924,0.161647545505099,0.0223399842162246
"1980-02",1980,2,0,0,0,0
"1980-03",1980,3,0.0476012734093933,0,0.155639706438826,0.0381651251594853
"1980-04",1980,4,0.105700279297216,0,0.456614449136463,0.095027960181707
"1980-05",1980,5,0.0817143942400252,0,0.276671299351602,0.0821293932300944
"1980-06",1980,6,0.175662971334695,0,0.428831722619713,0.128733062698304
"1980-07",1980,7,0.458160782409248,0.0830398036049379,0.861953147861798,0.170473331688795
"1980-08",1980,8,0.342986251111263,0.0486194279723521,0.613654968342857,0.119365651082498
"1980-09",1980,9,0.258528253045007,0.0945842577148252,0.420436033382441,0.0744715849358802
"1980-10",1980,10,0.198197125676743,0.0892215279818531,0.447575518151887,0.0760363262723338
"1980-11",1980,11,0.175978103481633,0.0768660642378613,0.438559249060443,0.0693825157361483
"1980-12",1980,12,0.141311868842639,0.0925480553061221,0.231125440563941,0.0240579331509428
"1981-01",1981,1,0.00320886283529706,0,0.124747057994081,0.0135143238690101
