Hylak_id,Lake_name,Elevation_m,Volume_m3,Volume_Mm3,Method
579,Unnamed_579,840.25,47771169629.5749,47771.1696295749,HydroLAKES_parabolic_estimate
579,Unnamed_579,840.5,47835243263.4823,47835.2432634823,HydroLAKES_parabolic_estimate
579,Unnamed_579,840.75,47899345518.3033,47899.3455183033,HydroLAKES_parabolic_estimate
579,Unnamed_579,841,47963476381.2647,47963.4763812647,HydroLAKES_parabolic_estimate
579,Unnamed_579,841.25,48027635839.6103,48027.6358396103,HydroLAKES_parabolic_estimate
579,Unnamed_579,841.5,48091823880.6011,48091.8238806011,HydroLAKES_parabolic_estimate
579,Unnamed_579,841.75,48156040491.515,48156.040491515,HydroLAKES_parabolic_estimate
579,Unnamed_579,842,48220285659.6469,48220.2856596469,HydroLAKES_parabolic_estimate
579,Unnamed_579,842.25,48284559372.3088,48284.5593723088,HydroLAKES_parabolic_estimate
579,Unnamed_579,842.5,48348861616.8293,48348.8616168293,HydroLAKES_parabolic_estimate
579,Unnamed_579,842.75,48413192380.554,48413.192380554,HydroLAKES_parabolic_estimate
579,Unnamed_579,843,48477551650.8454,48477.5516508454,HydroLAKES_parabolic_estimate
579,Unnamed_579,843.25,48541939415.0826,48541.9394150826,HydroLAKES_parabolic_estimate
579,Unnamed_579,843.5,48606355660.6617,48606.3556606617,HydroLAKES_parabolic_estimate
579,Unnamed_579,843.75,48670800374.9953,48670.8003749953,HydroLAKES_parabolic_estimate
579,Unnamed_579,844,48735273545.5128,48735.2735455128,HydroLAKES_parabolic_estimate
579,Unnamed_579,844.25,48799775159.66,48799.77515966,HydroLAKES_parabolic_estimate
579,Unnamed_579,844.5,48864305204.8998,48864.3052048998,HydroLAKES_parabolic_estimate
579,Unnamed_579,844.75,48928863668.711,48928.863668711,HydroLAKES_parabolic_estimate
579,Unnamed_579,845,48993450538.5895,48993.4505385895,HydroLAKES_parabolic_estimate
