LakeID,LakeName,latitude,longitude
1862,,56.14950000000,-64.22910000000
1650,North Wabasca,56.05280000000,-113.91800000000
1306,Otelnuc,56.11160000000,-68.24860000000
1130,,55.85430000000,-73.23850000000
1133,,55.85410000000,-64.05310000000
1848,,56.03930000000,-72.05250000000
646,,56.08410000000,-79.30310000000
1143,,55.89060000000,-63.26930000000
380,Ile-a-la-Crosse,55.55030000000,-108.07700000000
617,Utikuma,55.86950000000,-115.40200000000
2826,,55.88270000000,-72.58250000000
716,,55.88630000000,-65.70190000000
1368,,55.82560000000,-107.02500000000
231,Peter Pond,56.02310000000,-109.00400000000
192,Churchill,56.00360000000,-108.31600000000
415,Pinehouse,55.53360000000,-106.53900000000
1409,,55.57940000000,-67.57230000000
1357,,55.42250000000,-97.98240000000
1330,Winefred,55.49250000000,-110.53700000000
1273,Besnard,55.42540000000,-105.95500000000
1851,,55.41580000000,-73.94230000000
1465,,55.33190000000,-97.75430000000
1104,,55.54810000000,-96.32300000000
943,,55.72910000000,-73.13110000000
628,,55.42330000000,-64.21480000000
1212,,55.35950000000,-100.24100000000
954,Utik,55.20780000000,-96.12080000000
384,Babine,54.98720000000,-126.27600000000
606,,55.15030000000,-101.23100000000
1074,,55.25770000000,-105.49700000000
9910007,Sipiwesk,54.95670000000,-98.10340000000
895,Canoe,55.18090000000,-108.26800000000
616,Knee,54.91050000000,-94.70150000000
1206,Calling,55.24230000000,-113.30800000000
731,Plonge,55.11740000000,-107.32300000000
1060,Bear,55.11850000000,-96.04770000000
1333,,54.96830000000,-98.65400000000
1207,Egg,55.08060000000,-105.51300000000
683,Takla,55.54150000000,-126.06600000000
197,Bienville,55.09880000000,-72.77640000000
749,Biche,54.88660000000,-112.18300000000
526,Oxford,54.85600000000,-95.46460000000
1497,,54.88260000000,-102.98100000000
714,Wapawekka,54.92500000000,-104.61600000000
983,Wekusko,54.77070000000,-99.84250000000
424,Primrose,54.91150000000,-109.75600000000
347,Deschambault,54.66920000000,-103.44900000000
763,Burton,54.76350000000,-78.31580000000
1449,,54.85390000000,-125.06100000000
9910445,,54.76220000000,-97.18570000000
1268,Edmund,54.73180000000,-93.26260000000
9910446,Walker,54.65800000000,-97.01190000000
631,Smoothstone,54.64100000000,-106.82500000000
9910447,,54.81250000000,-66.44630000000
282,Dore,54.76750000000,-107.30800000000
9910448,,54.69340000000,-97.72300000000
1292,,54.53560000000,-101.16700000000
924,Reed,54.62050000000,-100.45600000000
496,Cold,54.55110000000,-110.06100000000
4153,Athapapuskow,54.49150000000,-101.74200000000
398,Montreal,54.37820000000,-105.61700000000
1152,,54.40190000000,-92.55540000000
494,Stuart,54.51200000000,-124.50500000000
531,Amisk,54.51730000000,-102.24900000000
1239,Goose,54.44140000000,-101.53500000000
1678,Julian,54.43460000000,-77.92210000000
1381,,54.36230000000,-102.78500000000
935,Beaver Hill,54.24560000000,-94.94710000000
9910451,Kiskitto,54.25750000000,-98.63240000000
454,Molson,54.21600000000,-96.80550000000
1530,,54.15660000000,-92.97170000000
823,Red Sucker,54.13710000000,-93.68960000000
513,Cormorant,54.26430000000,-100.92500000000
934,Talbot,54.02770000000,-99.89400000000
618,Clearwater,54.05790000000,-101.05400000000
1620,Little Sachigo,54.15230000000,-92.19970000000
9910452,,54.07590000000,-59.10500000000
1643,Nipishich,54.20600000000,-60.76540000000
1402,Crean,54.08090000000,-106.17500000000
1248,Delarondo,54.04060000000,-107.04300000000
191,Island,53.71400000000,-94.75750000000
1487,Rocky,54.15260000000,-101.52200000000
9910009,Playgreen,53.89690000000,-98.17230000000
694,,54.03560000000,-125.74200000000
822,Cumberland,54.12740000000,-101.94300000000
6437,Stevenson,53.86930000000,-96.04980000000
1453,William,53.80640000000,-99.42730000000
779,Sachigo,53.80110000000,-92.10390000000
1265,Candle,53.82790000000,-105.30600000000
262,Big Trout,53.73140000000,-90.01400000000
1672,Big Stone,53.65710000000,-95.54340000000
410,,53.43830000000,-69.01820000000
903,Grand,53.69850000000,-60.57230000000
9910454,Beaverhill,53.44540000000,-112.53900000000
9910455,,53.57460000000,-88.21140000000
269,Sakami,52.96670000000,-76.73480000000
707,Eutsuk,53.26840000000,-126.61700000000
653,Nichicun,53.08610000000,-70.98100000000
9900074,Wabush,53.11090000000,-66.61580000000
193,,52.85940000000,-87.30890000000
5069,,53.12700000000,-93.56360000000
271,Sandy,52.95480000000,-93.09630000000
1528,,52.94350000000,-92.02160000000
360,Ashuanipi,52.53240000000,-66.27270000000
9900071,Atikonak,52.65570000000,-64.54150000000
9910456,,52.94180000000,-88.01710000000
9910457,,52.84780000000,-87.81390000000
627,Naococane,52.87710000000,-70.65340000000
1009,Weagamow,52.88280000000,-91.37810000000
9910458,,52.89450000000,-89.18120000000
688,Red Deer,52.94790000000,-101.35900000000
553,North Caribou,52.71380000000,-90.89100000000
1253,,52.59640000000,-93.99340000000
521,Swan,52.50540000000,-100.80300000000
657,Quesnel,52.50940000000,-120.94800000000
1080,Pelican,52.46950000000,-100.33300000000
1211,MacDowell,52.24250000000,-92.68430000000
941,,52.31200000000,-85.19810000000
4835,,52.23060000000,-87.87120000000
1259,,52.12230000000,-94.56600000000
1289,,52.09760000000,-63.82250000000
252,Quill Lakes,51.91040000000,-104.05500000000
2207,Fleur de May,51.85500000000,-65.03470000000
836,Waterhen,52.08630000000,-99.56100000000
511,St. Martin,51.66270000000,-98.44500000000
932,Chilko,51.27510000000,-124.05500000000
1392,,51.72120000000,-91.70550000000
566,Pletipi,51.69820000000,-70.11010000000
8389,,51.36140000000,-75.14710000000
1252,,51.43590000000,-76.74850000000
349,Dauphin,51.25810000000,-99.77240000000
1493,,51.39550000000,-92.37160000000
300,St. Joseph,51.04630000000,-90.82720000000
460,Albaniel,50.87860000000,-73.32230000000
527,Trout,51.20680000000,-93.29160000000
287,Evans,50.84960000000,-76.87110000000
693,Red,51.03210000000,-93.97610000000
1284,Adams,51.15500000000,-119.60500000000
9910459,,50.76680000000,-77.30570000000
580,Shuswap,50.76640000000,-119.22500000000
815,Last Mountain,50.86420000000,-105.09500000000
1505,,51.15840000000,-64.74460000000
1360,Savant,50.51160000000,-90.32690000000
1583,,50.53620000000,-89.38460000000
1036,,50.48110000000,-75.26710000000
853,,50.50430000000,-61.08500000000
2672,Assinica,50.26660000000,-75.19790000000
991,Kesagami,50.31060000000,-80.31010000000
1059,Poncheville,50.13030000000,-76.85820000000
1404,,50.28640000000,-77.59810000000
1597,,50.03940000000,-90.27650000000
548,,50.09650000000,-105.96900000000
744,Sturgeon,49.92130000000,-90.87440000000
1499,,49.98130000000,-87.44850000000
757,Matagami,49.83480000000,-77.72710000000
9910028,Minnitaki,49.97390000000,-91.95240000000
2179,,49.91440000000,-74.87490000000
850,Chibougamau,49.81090000000,-74.22910000000
1534,,49.71910000000,-77.30580000000
558,Goeland,49.94800000000,-76.65000000000
1219,,49.53090000000,-86.81990000000
1034,Wabigoon,49.65580000000,-92.68990000000
593,Eagle,49.70370000000,-93.23530000000
2396,,49.55260000000,-74.54890000000
854,Waswanipi,49.54690000000,-76.40290000000
1569,,49.53940000000,-75.64060000000
9910460,,49.55610000000,-93.82690000000
1160,,49.35940000000,-75.42560000000
508,Okanagan,49.82670000000,-119.53600000000
804,Harrison,49.63700000000,-121.94800000000
1533,,49.22260000000,-93.85750000000
1431,,48.92100000000,-84.33940000000
1407,,48.93630000000,-54.70900000000
718,Mille Lacs,48.78280000000,-90.51290000000
202,Abitibi,48.60830000000,-79.57910000000
1471,Parent,48.73340000000,-76.95710000000
1168,Dog,48.77880000000,-89.51270000000
4073,,48.47600000000,-75.68520000000
1519,Nighthawk,48.46470000000,-80.97040000000
1548,Malartic,48.24280000000,-78.15740000000
1582,Preissac,48.29130000000,-78.38760000000
1349,Lac La Croix,48.35440000000,-92.13700000000
1103,Vermilion Lake,47.86400000000,-92.41950000000
1290,Lake Chelan,48.03150000000,-120.34900000000
13763,,47.50510000000,-77.50340000000
1004,Kempt,47.40060000000,-74.42540000000
10006,Temagam,47.02410000000,-79.90320000000
1230,Wanapitei,46.73580000000,-80.73410000000
9910461,St. Peter,46.20190000000,-72.81590000000
224,Nipissing,46.26520000000,-79.64890000000
352,Mille Lacs,46.24250000000,-93.64590000000
695,Grand,45.95640000000,-66.03480000000
1281,,45.90220000000,-77.21910000000
873,,45.35050000000,-66.04550000000
2528,Joseph,45.13840000000,-79.58940000000
1443,Muskoka,45.06290000000,-79.49790000000
237,Simcoe,44.43720000000,-79.36950000000
669,Yellowstone Lake,44.41000000000,-110.29600000000
1478,,44.42370000000,-78.37110000000
971,Lake Winnipesaukee,43.60130000000,-71.34090000000
1992,Malheur Lake,43.32620000000,-118.81100000000
968,Seneca Lake,42.77900000000,-76.94980000000
9910291,Summer Lake,42.81840000000,-120.74600000000
1125,Lake Abert,42.65200000000,-120.22000000000
658,Bear Lake,41.99480000000,-111.33000000000
9900049,Goose Lake,41.93330000000,-120.42200000000
1997,Eagle Lake,40.64290000000,-120.73900000000
9900075,Honey Lake,40.27750000000,-120.23800000000
393,Pyramid Lake,40.04780000000,-119.56600000000
365,Tahoe,39.09590000000,-120.03400000000
1452,Walker Lake,38.69520000000,-118.71400000000
958,Mono Lake,38.01440000000,-118.96800000000
1050,Lake Mattamuskeet,35.50560000000,-76.18700000000
209,Salton,33.31440000000,-115.81700000000
344,Lake George,29.29420000000,-81.60130000000
1254,,29.34540000000,-107.83700000000
1332,Lake Apopka,28.62400000000,-81.62600000000
1474,,28.54120000000,-106.73500000000
1204,Saumatre,18.56860000000,-71.99080000000
519,Enriquillo,18.45610000000,-71.58280000000
1565,Peten Itza,16.99640000000,-89.84190000000
244,Izabal,15.49380000000,-89.17250000000
9910462,,15.27350000000,-83.93050000000
1329,Atitla,14.70310000000,-91.20130000000
1385,Guajaro,10.53960000000,-75.03410000000
622,Zapatosa,9.09330000000,-73.82330000000
4508,,8.90869000000,-74.84420000000
1581,,8.35922000000,-75.08620000000
10387,Novo,1.48336000000,-50.66820000000
474,Portnyagino,74.15390000000,107.07200000000
1076,Kokora,72.99680000000,101.08400000000
1222,Nadudoturku,72.83130000000,84.10920000000
656,Bustakh,72.52830000000,141.94000000000
328,Ferguson,72.29140000000,99.58280000000
545,Mogotoyeyo,72.03490000000,149.13800000000
1255,Soluntakh,71.72720000000,143.23600000000
1559,Periptaveto,71.35610000000,78.98130000000
974,Yambuto,71.20820000000,79.39600000000
9900066,,71.01350000000,147.19900000000
1073,Ilergytgyn,70.50620000000,158.94800000000
1001,Mayato and Neyto,70.15500000000,70.53630000000
914,Neyato,70.06310000000,70.35700000000
831,Bol'shoye Morskoye,70.05260000000,158.75200000000
9910463,,70.03050000000,146.74700000000
1448,Yambuto,69.51410000000,69.01870000000
275,Lama,69.56260000000,90.21770000000
786,Nerpich'ye,69.27420000000,160.18000000000
1176,Glubokoye,69.28950000000,90.03770000000
1057,Ozhogino,69.25330000000,146.66700000000
10153,,68.85270000000,154.24100000000
1553,Sobach'ye,69.04000000000,91.40230000000
420,Keta,68.72620000000,90.05350000000
1395,Peschanoye,68.65710000000,53.04080000000
9910464,,68.41790000000,153.96100000000
9910465,,68.36360000000,153.01100000000
1396,Pavylon,68.43720000000,151.83800000000
195,Khantayskoye,68.28600000000,89.99830000000
737,Yessey,68.43900000000,102.40700000000
1673,,68.15110000000,154.84100000000
1089,Vtoroye,68.01940000000,71.15060000000
886,Lovozero,67.88430000000,35.21480000000
9910466,Golodnaya Guba,67.90220000000,52.85230000000
724,Pervoye,67.93480000000,71.59060000000
704,,67.99030000000,92.30290000000
564,Umbozero,67.68040000000,34.39250000000
