"date","year","month","swei_basin_avg","swe_raw_mm","swe_smoothed_mm"
1978-08-01,1978,8,-0.28060398402802,7.73162172551741,10.9145360482964
1978-09-01,1978,9,-0.524588609655276,6.80829648087198,8.37164674088073
1978-10-01,1978,10,-0.170234292668246,10.5750220162528,26.7528491709366
1978-11-01,1978,11,-0.0246350559448529,62.875229015685,67.780099516624
1978-12-01,1978,12,-0.117492630264683,129.890047517934,126.776323979759
1979-01-01,1979,1,-0.128356054923998,187.563695405659,189.932016501749
1979-02-01,1979,2,-0.157504263223489,252.342306581655,241.727862043389
1979-03-01,1979,3,-0.102618339734017,285.277584142852,274.722789264064
1979-04-01,1979,4,-0.130850385048291,286.548477067684,250.694137468075
1979-05-01,1979,5,-0.0632249258354215,180.256351193689,183.97315343221
1979-06-01,1979,6,-0.0440935467317951,85.1146320352578,97.9289622135529
1979-07-01,1979,7,0.155906645986221,28.4159034117123,40.1627051402055
1979-08-01,1979,8,-0.216172104022166,6.95757997364627,13.5798792890837
1979-09-01,1979,9,-0.36876033440919,5.3661544818926,6.90930349784985
1979-10-01,1979,10,-2.00750881696796,8.40417603801068,10.9495965261308
1979-11-01,1979,11,-1.70779293327975,19.0784590584891,33.425521930258
1979-12-01,1979,12,-1.59804628928799,72.7939306942741,78.1874987316211
1980-01-01,1980,1,-1.56220748465186,142.6901064421,130.749044362565
1980-02-01,1980,2,-1.52216994270818,176.763095951319,175.775288141262
1980-03-01,1980,3,-1.53841440786631,207.872662030366,191.912757822545
1980-04-01,1980,4,-1.48299565450337,191.10251548595,165.017029595754
1980-05-01,1980,5,-1.34536921402502,96.0759112709447,107.180204606594
1980-06-01,1980,6,-1.78022436844921,34.3621870628873,45.803217461633
1980-07-01,1980,7,-1.44632993435112,6.971554051067,15.1620106390345
1980-08-01,1980,8,-0.661212519357565,4.15229080314923,4.96200053215824
1980-09-01,1980,9,-1.32743899935838,3.76215674225848,4.19086003761642
1980-10-01,1980,10,-1.59522375738371,4.65813256744155,10.9268246637152
1980-11-01,1980,11,-1.31393235618977,24.3601846814454,40.8868355460235
1980-12-01,1980,12,-1.25596919476777,93.6421893891834,91.2735149475965
1981-01-01,1981,1,-1.37920619541719,155.81817077216,143.424507370569
1981-02-01,1981,2,-1.52885180631526,180.813161950362,180.823091476683
1981-03-01,1981,3,-1.47542379718495,205.837941707525,205.778187677675
1981-04-01,1981,4,-1.35835708171674,230.683459375138,201.759923968399
1981-05-01,1981,5,-0.995043386107767,168.758370822534,156.699128816201
1981-06-01,1981,6,-0.851880032331472,70.6555562509331,87.116287266501
1981-07-01,1981,7,-0.370499888911301,21.9349347260363,31.0288873830236
1981-08-01,1981,8,-0.408207319488382,0.496171172101396,7.49746958414714
1981-09-01,1981,9,-0.623527789217278,0.0613028543037281,1.76334460775555
1981-10-01,1981,10,-0.126187950754062,4.73255979686154,20.0399599577251
1981-11-01,1981,11,-0.351344392617829,55.3260172220101,55.432495317961
1981-12-01,1981,12,-0.134907238427396,106.238908935011,118.022693229299
1982-01-01,1982,1,0.333575272729976,192.503153530876,196.527399813621
1982-02-01,1982,2,0.767743733994469,290.840136974975,276.528542103524
1982-03-01,1982,3,0.974328047483571,346.242335804722,330.835403754697
1982-04-01,1982,4,1.15185200135135,355.423738484395,320.384707566391
1982-05-01,1982,5,1.15007826147434,259.488048410057,229.839138518599
1982-06-01,1982,6,1.1331960198058,74.6056286613445,114.015083265185
1982-07-01,1982,7,0.315038913142925,7.95157272415352,27.5275279007659
1982-08-01,1982,8,-0.831409539412594,0.0253823167996897,2.67412987169666
1982-09-01,1982,9,-0.604163793874366,0.0454345741367579,1.93981459067081
1982-10-01,1982,10,-0.24865331392302,5.74862688107598,17.1655827795553
1982-11-01,1982,11,-0.344325975458043,45.7026868834531,49.2293123613324
1982-12-01,1982,12,-0.507139751236041,96.2366233194681,101.558489309516
1983-01-01,1983,1,-0.685724200056609,162.736157725628,155.354612552831
1983-02-01,1983,2,-0.765546478446036,207.091056613396,201.018482820133
1983-03-01,1983,3,-0.941293617854037,233.228234121375,215.151058601755
1983-04-01,1983,4,-1.11930183040562,205.133885070495,177.587311568615
1983-05-01,1983,5,-1.21193580834777,94.3998155139741,107.363512442325
1983-06-01,1983,6,-1.53747997075325,22.5568367425063,39.427664046897
1983-07-01,1983,7,-1.33922546601703,1.32633988421065,7.9611050853554
1983-08-01,1983,8,-0.49429136892332,0.000138629349252036,0.581864426309304
1983-09-01,1983,9,-0.636107209004512,0.41911476536801,2.17684687627985
1983-10-01,1983,10,-0.424130813631043,6.11128723412229,17.4729786221943
1983-11-01,1983,11,-0.989895526567647,45.8885338670927,41.9578791262213
1983-12-01,1983,12,-1.18596606555299,73.873816277449,85.474705835532
1984-01-01,1984,1,-1.31260415264455,136.661767362054,137.513860226076
1984-02-01,1984,2,-1.32084628648442,202.005997038724,188.218112378292
1984-03-01,1984,3,-1.24598016024371,225.986572734097,218.510507043442
1984-04-01,1984,4,-1.09974949051151,227.538951357504,213.813010512936
1984-05-01,1984,5,-0.941856633282415,187.913507447207,173.023594351938
1984-06-01,1984,6,-0.318000857170401,103.618324251103,110.589328166735
1984-07-01,1984,7,0.506042830151807,40.2361528018961,49.7245935967492
1984-08-01,1984,8,0.402407038011744,5.31930373724839,15.3785086514657
1984-09-01,1984,9,0.0446911753613018,0.580069415252609,3.97329202969072
1984-10-01,1984,10,0.480552431406383,6.02050293657116,19.8295692055048
1984-11-01,1984,11,0.402253667837489,52.8881352646907,62.8447118359202
1984-12-01,1984,12,0.234506753761843,129.625497306499,120.358587008471
1985-01-01,1985,1,-0.0627505695384425,178.562128454223,179.76745168866
1985-02-01,1985,2,-0.196792662486792,231.114729305258,231.060406120001
1985-03-01,1985,3,-0.166512973322867,283.504360600522,268.264011233273
1985-04-01,1985,4,0.0494700227701398,290.17294379404,264.221715648272
1985-05-01,1985,5,0.0854553155515881,218.987842550254,195.535225975782
1985-06-01,1985,6,0.194065712531252,77.4448915830531,106.151940131446
1985-07-01,1985,7,-0.0115447978063042,22.0230862610322,33.392305860145
1985-08-01,1985,8,-0.104410431268477,0.708939736349541,7.61284186826115
1985-09-01,1985,9,1.30012514496819,0.106499607401683,8.01212148260054
1985-10-01,1985,10,1.31862583093311,23.2209251040504,38.0438045351926
1985-11-01,1985,11,0.551608136001197,90.8039888941256,75.9990014129613
1985-12-01,1985,12,0.0328849692947501,113.972090240708,125.469000218008
1986-01-01,1986,1,-0.543552959704432,171.630921519191,168.005348546563
1986-02-01,1986,2,-0.588043764770349,218.413033879789,216.103109600351
1986-03-01,1986,3,-0.50885404083568,258.265373402072,249.481017527823
1986-04-01,1986,4,-0.204353648637837,271.764645301609,253.55911573571
1986-05-01,1986,5,-0.0439947116933301,230.647328503449,198.582250472398
1986-06-01,1986,6,0.315847779941506,93.3347776121364,116.41624278592
1986-07-01,1986,7,0.370546469384397,25.2666222421747,39.9185951889408
1986-08-01,1986,8,-0.237650515689147,1.15438571251126,8.82676569939456
1986-09-01,1986,9,-2.02377575081953,0.0592891434977825,0.594291272717112
1986-10-01,1986,10,-0.082999120663146,0.569198962142294,12.8660014797074
1986-11-01,1986,11,0.0829334262251334,37.969516333482,52.0983837800118
1986-12-01,1986,12,0.117366660920137,117.756436044411,114.9855102214
1987-01-01,1987,1,0.0495203389929747,189.230578286307,185.770493700988
1987-02-01,1987,2,-0.0193394828881117,250.324466772247,243.265042030124
1987-03-01,1987,3,-0.121183085346021,290.240081031818,273.118159725154
1987-04-01,1987,4,-0.188468090043193,278.789931371397,251.408849443708
1987-05-01,1987,5,-0.324444196221143,185.196535927909,184.139346120352
1987-06-01,1987,6,-0.507312520955712,88.4315710617486,99.5324532390139
1987-07-01,1987,7,0.0266173608780314,24.9692527273843,38.2001043461518
1987-08-01,1987,8,-0.53577498899349,1.19948924932265,8.74333672455777
1987-09-01,1987,9,-1.50834369735612,0.0612681969664151,1.03551383404903
1987-10-01,1987,10,-1.32379901123391,1.84578405585803,9.37134560287845
1987-11-01,1987,11,-1.33070865834697,26.2069845558109,35.8494270216353
1987-12-01,1987,12,-1.5170455381361,79.495512453237,75.7861213078575
1988-01-01,1988,1,-1.29136241317702,121.655866914524,134.885811068759
1988-02-01,1988,2,-1.03874734695042,203.506053838515,188.549190336401
1988-03-01,1988,3,-0.778046074214698,240.485650256164,224.772023477451
1988-04-01,1988,4,-0.890794198581105,230.324366337673,195.252391827933
1988-05-01,1988,5,-0.884886163231734,114.947158889962,133.569521015648
1988-06-01,1988,6,-1.24342819813336,55.4370378193102,62.0115470567542
1988-07-01,1988,7,-0.635767074446102,15.6504444609907,23.9119924100718
1988-08-01,1988,8,0.04855025466178,0.648494949914459,5.57506054565124
1988-09-01,1988,9,-0.589600383906159,0.42624222604852,2.05580552817387
1988-10-01,1988,10,0.0771870316902811,5.09267940855863,20.2291097457746
1988-11-01,1988,11,0.125819686434699,55.1684076027165,64.301654111373
1988-12-01,1988,12,0.224211596373043,132.643875322844,132.905742976699
1989-01-01,1989,1,0.241874630421198,210.904946004538,207.458568993666
1989-02-01,1989,2,0.224355497932547,278.826885653618,264.240765232988
1989-03-01,1989,3,0.162664371636678,302.990464040809,292.745158387505
1989-04-01,1989,4,-0.217606668645233,296.418125468089,244.24279722056
1989-05-01,1989,5,-0.366132990277909,133.319802152782,157.430662746318
1989-06-01,1989,6,-0.972670410928373,42.5540606180827,60.3042565093204
1989-07-01,1989,7,-0.994478140324281,5.0389067570966,15.8648028807931
1989-08-01,1989,8,-1.2438731389562,0.00144126719998238,1.68306666209285
1989-09-01,1989,9,-0.905698385239379,0.00885196198198132,2.78998098476987
1989-10-01,1989,10,-0.493610651456609,8.35964972512764,20.1381915991966
1989-11-01,1989,11,-0.429935804923744,52.0460731104801,61.1603588687447
1989-12-01,1989,12,-0.241551178132918,123.075353770627,130.587250367741
1990-01-01,1990,1,-0.0320382495759802,216.640324222115,209.688514894312
1990-02-01,1990,2,0.0830036820778839,289.349866690193,272.712878416057
1990-03-01,1990,3,-0.118856075103188,312.148444335861,290.787083762033
1990-04-01,1990,4,-0.406529210253689,270.862940260043,252.088139230446
1990-05-01,1990,5,-0.728584867607051,173.253033095434,169.943473293269
1990-06-01,1990,6,-0.76428516716583,65.7144465243309,84.4551530995763
1990-07-01,1990,7,-0.678584278920871,14.3979796789643,26.7827739890855
1990-08-01,1990,8,-1.43944821945376,0.235895763961295,4.87914161076621
1990-09-01,1990,9,1.78449921766631,0.00354938937309093,9.90392132012567
1990-10-01,1990,10,1.74896780813958,29.4723188070426,49.9818366870546
1990-11-01,1990,11,1.82528466412935,120.469641864748,129.923207419259
1990-12-01,1990,12,1.74324056786922,239.827661585987,219.748714115586
1991-01-01,1991,1,1.56121556633162,298.948838896022,297.039376563994
1991-02-01,1991,2,1.18292996759166,352.341629209973,340.725228302461
1991-03-01,1991,3,0.759530421944682,370.885216801388,353.754492132686
1991-04-01,1991,4,0.343049453512481,338.036630386697,301.35875278049
1991-05-01,1991,5,0.0249658345326775,195.154411153387,206.984079770476
1991-06-01,1991,6,-0.431502912053977,87.7611977713449,101.835150467722
1991-07-01,1991,7,0.0289017771071086,22.5898424784342,37.2289595448582
1991-08-01,1991,8,-0.338700337726298,1.33583838479561,8.00114148043551
1991-09-01,1991,9,0.389303947492954,0.0777435780766614,2.43630962961399
1991-10-01,1991,10,0.974878913437876,5.89534692596971,25.4754219437602
