"Date","Year","Month","Basin_Mean","Basin_Median","Basin_Min","Basin_Max","Basin_SD","Valid_Pixels","Total_Pixels","Coverage_Pct","Date_formatted"
"1980-09",1980,9,-0.273,-0.267,-1.336,1.327,0.358,863,863,100,1980-09-01
"1980-10",1980,10,0.14,0.178,-0.549,0.592,0.304,863,863,100,1980-10-01
"1980-11",1980,11,0.095,0.152,-0.723,0.662,0.235,863,863,100,1980-11-01
"1980-12",1980,12,-0.542,-0.729,-1.393,1.356,0.565,863,863,100,1980-12-01
"1981-01",1981,1,-0.091,-0.13,-1.011,0.978,0.288,863,863,100,1981-01-01
"1981-02",1981,2,-0.102,-0.124,-0.951,0.905,0.316,863,863,100,1981-02-01
"1981-03",1981,3,0.227,0.255,-1.038,1.091,0.466,863,863,100,1981-03-01
"1981-04",1981,4,-0.235,-0.36,-1.148,1.135,0.477,863,863,100,1981-04-01
"1981-05",1981,5,-0.524,-0.601,-1.76,1.876,0.912,863,863,100,1981-05-01
"1981-06",1981,6,-0.535,-0.707,-1.643,1.719,0.828,863,863,100,1981-06-01
"1981-07",1981,7,-0.213,-0.261,-1.089,0.972,0.459,863,863,100,1981-07-01
"1981-08",1981,8,0.118,0.039,-0.936,0.987,0.395,863,863,100,1981-08-01
"1981-09",1981,9,0.104,0.051,-0.924,0.981,0.349,863,863,100,1981-09-01
"1981-10",1981,10,0.191,0.242,-1.038,1.116,0.391,863,863,100,1981-10-01
"1981-11",1981,11,0.178,0.221,-1.19,1.228,0.403,863,863,100,1981-11-01
"1981-12",1981,12,0.422,0.483,-1.22,1.299,0.453,863,863,100,1981-12-01
"1982-01",1982,1,-0.201,-0.301,-1.385,1.347,0.698,863,863,100,1982-01-01
"1982-02",1982,2,-0.385,-0.63,-1.696,1.666,0.897,863,863,100,1982-02-01
"1982-03",1982,3,-0.199,-0.432,-1.317,1.314,0.72,863,863,100,1982-03-01
"1982-04",1982,4,0.013,-0.082,-0.743,0.815,0.447,863,863,100,1982-04-01
"1982-05",1982,5,0.136,0.192,-0.773,0.789,0.352,863,863,100,1982-05-01
"1982-06",1982,6,0.432,0.424,-1.652,1.754,0.537,863,863,100,1982-06-01
"1982-07",1982,7,-0.203,-0.483,-1.224,1.262,0.732,863,863,100,1982-07-01
"1982-08",1982,8,-0.099,-0.209,-1.29,0.994,0.614,863,863,100,1982-08-01
"1982-09",1982,9,-0.267,-0.395,-1.387,1.172,0.692,863,863,100,1982-09-01
"1982-10",1982,10,-0.155,-0.114,-1.16,0.857,0.468,863,863,100,1982-10-01
"1982-11",1982,11,0.314,0.344,-0.943,1.309,0.471,863,863,100,1982-11-01
"1982-12",1982,12,0.508,0.679,-1.295,1.562,0.563,863,863,100,1982-12-01
"1983-01",1983,1,0.587,0.862,-1.141,1.233,0.595,863,863,100,1983-01-01
"1983-02",1983,2,0.53,0.754,-1.188,1.22,0.526,863,863,100,1983-02-01
"1983-03",1983,3,0.772,1.114,-1.647,1.64,0.78,863,863,100,1983-03-01
"1983-04",1983,4,1.037,1.5,-2.041,2.088,1.077,863,863,100,1983-04-01
"1983-05",1983,5,1.204,1.708,-2.334,2.35,1.224,863,863,100,1983-05-01
"1983-06",1983,6,0.093,0.152,-0.903,0.943,0.407,863,863,100,1983-06-01
"1983-07",1983,7,-0.451,-0.591,-1.77,1.89,1.005,863,863,100,1983-07-01
"1983-08",1983,8,-0.269,-0.283,-1.413,1.562,0.77,863,863,100,1983-08-01
"1983-09",1983,9,-0.327,-0.385,-1.375,1.529,0.792,863,863,100,1983-09-01
"1983-10",1983,10,-0.009,0.086,-0.885,0.838,0.508,863,863,100,1983-10-01
"1983-11",1983,11,0.271,0.177,-0.418,1.11,0.453,863,863,100,1983-11-01
"1983-12",1983,12,0.824,0.828,-1.116,1.987,0.827,863,863,100,1983-12-01
"1984-01",1984,1,0.336,0.475,-0.839,0.993,0.457,863,863,100,1984-01-01
"1984-02",1984,2,0.263,0.27,-0.793,1.061,0.439,863,863,100,1984-02-01
"1984-03",1984,3,0.277,0.264,-0.801,1.032,0.449,863,863,100,1984-03-01
"1984-04",1984,4,0.336,0.446,-0.919,1.102,0.533,863,863,100,1984-04-01
"1984-05",1984,5,0.078,0.16,-0.959,0.663,0.388,863,863,100,1984-05-01
"1984-06",1984,6,0.138,0.197,-0.823,0.781,0.344,863,863,100,1984-06-01
"1984-07",1984,7,0.363,0.512,-0.723,1.094,0.464,863,863,100,1984-07-01
"1984-08",1984,8,0.262,0.356,-0.961,1.015,0.492,863,863,100,1984-08-01
"1984-09",1984,9,0.123,0.169,-0.751,0.75,0.302,863,863,100,1984-09-01
"1984-10",1984,10,0.083,0.158,-0.526,0.498,0.249,863,863,100,1984-10-01
"1984-11",1984,11,0.178,0.2,-0.613,0.669,0.224,863,863,100,1984-11-01
"1984-12",1984,12,0.119,0.084,-0.787,0.781,0.262,863,863,100,1984-12-01
"1985-01",1985,1,0.478,0.582,-1.134,1.126,0.561,863,863,100,1985-01-01
"1985-02",1985,2,0.136,0.076,-0.957,0.942,0.392,863,863,100,1985-02-01
"1985-03",1985,3,0.142,0.093,-0.99,0.999,0.414,863,863,100,1985-03-01
"1985-04",1985,4,-0.009,-0.081,-0.87,0.881,0.434,863,863,100,1985-04-01
"1985-05",1985,5,0.098,0.012,-1.288,1.209,0.618,863,863,100,1985-05-01
"1985-06",1985,6,0.116,0.047,-1.296,1.309,0.685,863,863,100,1985-06-01
"1985-07",1985,7,0.543,0.563,-1.916,2.064,1.063,863,863,100,1985-07-01
"1985-08",1985,8,0.622,0.831,-1.777,2.108,0.937,863,863,100,1985-08-01
"1985-09",1985,9,0.55,0.71,-1.202,1.412,0.601,863,863,100,1985-09-01
"1985-10",1985,10,0.173,0.199,-0.617,0.821,0.338,863,863,100,1985-10-01
"1985-11",1985,11,0.591,0.767,-0.951,1.301,0.637,863,863,100,1985-11-01
"1985-12",1985,12,1.12,1.638,-1.788,2.156,1.27,863,863,100,1985-12-01
"1986-01",1986,1,0.724,1.045,-1.207,1.449,0.844,863,863,100,1986-01-01
"1986-02",1986,2,0.662,0.98,-1.411,1.424,0.798,863,863,100,1986-02-01
"1986-03",1986,3,0.385,0.533,-0.876,0.937,0.449,863,863,100,1986-03-01
"1986-04",1986,4,0.125,0.152,-0.437,0.614,0.233,863,863,100,1986-04-01
"1986-05",1986,5,-0.099,-0.069,-0.808,0.611,0.292,863,863,100,1986-05-01
"1986-06",1986,6,-0.077,-0.069,-0.915,0.788,0.348,863,863,100,1986-06-01
"1986-07",1986,7,-0.105,-0.118,-0.663,0.624,0.268,863,863,100,1986-07-01
"1986-08",1986,8,0.371,0.516,-0.852,0.953,0.44,863,863,100,1986-08-01
"1986-09",1986,9,0.152,0.182,-0.865,0.989,0.455,863,863,100,1986-09-01
"1986-10",1986,10,0.711,0.463,-0.83,2.246,0.811,863,863,100,1986-10-01
"1986-11",1986,11,0.227,0.134,-0.633,1.249,0.449,863,863,100,1986-11-01
"1986-12",1986,12,0.501,0.553,-0.735,1.415,0.529,863,863,100,1986-12-01
"1987-01",1987,1,0.452,0.568,-0.724,1.106,0.462,863,863,100,1987-01-01
"1987-02",1987,2,0.352,0.501,-0.675,0.825,0.378,863,863,100,1987-02-01
"1987-03",1987,3,0.252,0.335,-0.715,0.751,0.296,863,863,100,1987-03-01
"1987-04",1987,4,0.187,0.278,-0.748,0.812,0.408,863,863,100,1987-04-01
"1987-05",1987,5,0.03,0.102,-1.024,0.944,0.336,863,863,100,1987-05-01
"1987-06",1987,6,0.242,0.366,-1.222,1.485,0.724,863,863,100,1987-06-01
"1987-07",1987,7,0.178,0.302,-1.192,1.232,0.628,863,863,100,1987-07-01
"1987-08",1987,8,0.116,0.201,-1.007,1.141,0.416,863,863,100,1987-08-01
"1987-09",1987,9,0.214,0.236,-1.652,1.732,0.76,863,863,100,1987-09-01
"1987-10",1987,10,0.459,0.574,-1.924,2.01,0.923,863,863,100,1987-10-01
"1987-11",1987,11,0.466,0.586,-1.981,2.051,0.951,863,863,100,1987-11-01
"1987-12",1987,12,0.796,1.027,-2.314,2.384,1.13,863,863,100,1987-12-01
"1988-01",1988,1,0.728,0.822,-2.16,2.275,1.034,863,863,100,1988-01-01
"1988-02",1988,2,0.458,0.516,-1.516,1.606,0.667,863,863,100,1988-02-01
"1988-03",1988,3,0.316,0.384,-1.225,1.256,0.531,863,863,100,1988-03-01
"1988-04",1988,4,0.332,0.395,-1.117,1.184,0.488,863,863,100,1988-04-01
"1988-05",1988,5,0.002,0.164,-1.147,1.178,0.553,863,863,100,1988-05-01
"1988-06",1988,6,-0.081,-0.09,-1.224,1.156,0.543,863,863,100,1988-06-01
"1988-07",1988,7,-0.05,-0.002,-1.317,1.129,0.505,863,863,100,1988-07-01
"1988-08",1988,8,-0.228,-0.301,-1.042,0.973,0.45,863,863,100,1988-08-01
"1988-09",1988,9,-0.434,-0.542,-1.287,0.86,0.55,863,863,100,1988-09-01
"1988-10",1988,10,-0.144,-0.226,-0.776,0.694,0.404,863,863,100,1988-10-01
"1988-11",1988,11,0.013,-0.04,-0.819,0.804,0.334,863,863,100,1988-11-01
"1988-12",1988,12,-0.051,-0.093,-0.676,0.711,0.314,863,863,100,1988-12-01
"1989-01",1989,1,-0.407,-0.48,-1.291,1.28,0.581,863,863,100,1989-01-01
"1989-02",1989,2,0.098,-0.042,-1.031,1.073,0.426,863,863,100,1989-02-01
"1989-03",1989,3,0.171,0.1,-1.033,1.119,0.376,863,863,100,1989-03-01
"1989-04",1989,4,0.294,0.334,-1.113,1.312,0.453,863,863,100,1989-04-01
"1989-05",1989,5,0.408,0.532,-1.181,1.279,0.573,863,863,100,1989-05-01
"1989-06",1989,6,0.604,0.849,-1.551,1.63,0.878,863,863,100,1989-06-01
"1989-07",1989,7,0.399,0.534,-1.398,1.439,0.672,863,863,100,1989-07-01
"1989-08",1989,8,0.185,0.233,-0.801,1.037,0.427,863,863,100,1989-08-01
"1989-09",1989,9,0.631,0.82,-1.224,1.798,0.786,863,863,100,1989-09-01
"1989-10",1989,10,0.646,0.919,-1.404,1.549,0.752,863,863,100,1989-10-01
"1989-11",1989,11,0.269,0.362,-0.876,0.987,0.415,863,863,100,1989-11-01
"1989-12",1989,12,-0.062,-0.011,-0.726,0.531,0.257,863,863,100,1989-12-01
"1990-01",1990,1,-0.207,-0.179,-1.251,0.817,0.436,863,863,100,1990-01-01
"1990-02",1990,2,-0.197,-0.154,-1.199,0.691,0.375,863,863,100,1990-02-01
"1990-03",1990,3,-0.074,-0.052,-0.854,0.748,0.344,863,863,100,1990-03-01
"1990-04",1990,4,-0.018,0.009,-0.526,0.301,0.195,863,863,100,1990-04-01
"1990-05",1990,5,-0.193,-0.187,-0.823,0.549,0.241,863,863,100,1990-05-01
"1990-06",1990,6,-0.541,-0.741,-1.442,1.049,0.617,863,863,100,1990-06-01
"1990-07",1990,7,-0.308,-0.302,-1.19,1.016,0.416,863,863,100,1990-07-01
"1990-08",1990,8,-0.071,-0.08,-0.754,0.511,0.257,863,863,100,1990-08-01
"1990-09",1990,9,0.663,0.94,-1.31,1.433,0.733,863,863,100,1990-09-01
"1990-10",1990,10,-0.068,-0.032,-0.804,0.608,0.265,863,863,100,1990-10-01
"1990-11",1990,11,-0.442,-0.471,-1.635,0.898,0.538,863,863,100,1990-11-01
"1990-12",1990,12,-0.576,-0.676,-1.645,1.186,0.597,863,863,100,1990-12-01
"1991-01",1991,1,-0.206,-0.16,-0.917,0.696,0.27,863,863,100,1991-01-01
"1991-02",1991,2,-0.271,-0.263,-0.945,0.55,0.291,863,863,100,1991-02-01
"1991-03",1991,3,0.082,0.127,-0.837,0.85,0.412,863,863,100,1991-03-01
"1991-04",1991,4,0.261,0.431,-0.811,0.832,0.469,863,863,100,1991-04-01
"1991-05",1991,5,0.515,0.742,-1.112,1.238,0.633,863,863,100,1991-05-01
"1991-06",1991,6,0.04,0.051,-0.722,0.775,0.345,863,863,100,1991-06-01
"1991-07",1991,7,-0.024,-0.005,-0.517,0.498,0.222,863,863,100,1991-07-01
"1991-08",1991,8,-0.013,-0.016,-0.603,0.606,0.272,863,863,100,1991-08-01
"1991-09",1991,9,0.471,0.621,-1.291,1.388,0.645,863,863,100,1991-09-01
"1991-10",1991,10,0.255,0.234,-0.548,1.318,0.46,863,863,100,1991-10-01
"1991-11",1991,11,-0.104,-0.12,-1.142,1.195,0.508,863,863,100,1991-11-01
"1991-12",1991,12,-0.472,-0.4,-2.204,2.225,0.946,863,863,100,1991-12-01
"1992-01",1992,1,-0.592,-0.549,-2.324,2.315,0.983,863,863,100,1992-01-01
"1992-02",1992,2,-0.627,-0.688,-2.155,2.102,1.015,863,863,100,1992-02-01
"1992-03",1992,3,-0.236,-0.194,-1.404,1.35,0.649,863,863,100,1992-03-01
"1992-04",1992,4,-0.248,-0.218,-1.357,1.299,0.6,863,863,100,1992-04-01
"1992-05",1992,5,-0.04,-0.042,-1.214,1.023,0.573,863,863,100,1992-05-01
"1992-06",1992,6,0.305,0.188,-1.652,1.828,0.722,863,863,100,1992-06-01
"1992-07",1992,7,0.651,0.849,-2.096,2.394,1.035,863,863,100,1992-07-01
"1992-08",1992,8,0.877,1.276,-2.309,2.54,1.261,863,863,100,1992-08-01
"1992-09",1992,9,-0.003,0.085,-1.358,1.167,0.598,863,863,100,1992-09-01
"1992-10",1992,10,-0.083,-0.001,-1.363,0.981,0.515,863,863,100,1992-10-01
"1992-11",1992,11,-0.01,0.053,-0.901,0.547,0.324,863,863,100,1992-11-01
"1992-12",1992,12,-0.086,-0.074,-0.826,0.517,0.204,863,863,100,1992-12-01
"1993-01",1993,1,0.325,0.479,-0.912,0.942,0.447,863,863,100,1993-01-01
"1993-02",1993,2,0.606,0.907,-1.479,1.531,0.833,863,863,100,1993-02-01
"1993-03",1993,3,0.549,0.769,-1.566,1.602,0.855,863,863,100,1993-03-01
"1993-04",1993,4,0.303,0.42,-0.964,0.949,0.436,863,863,100,1993-04-01
"1993-05",1993,5,0.038,0.01,-0.527,0.676,0.252,863,863,100,1993-05-01
"1993-06",1993,6,-0.707,-0.991,-2.031,1.658,0.975,863,863,100,1993-06-01
"1993-07",1993,7,-0.784,-1.197,-2.022,1.7,1.048,863,863,100,1993-07-01
"1993-08",1993,8,-0.701,-1.046,-1.932,1.692,1.006,863,863,100,1993-08-01
"1993-09",1993,9,-0.056,-0.108,-1.266,1.286,0.6,863,863,100,1993-09-01
"1993-10",1993,10,0.316,0.171,-0.858,1.624,0.584,863,863,100,1993-10-01
"1993-11",1993,11,-0.023,-0.066,-0.653,0.694,0.279,863,863,100,1993-11-01
"1993-12",1993,12,0.207,0.274,-0.594,0.931,0.341,863,863,100,1993-12-01
"1994-01",1994,1,-0.203,-0.283,-0.944,0.912,0.53,863,863,100,1994-01-01
"1994-02",1994,2,-0.359,-0.505,-1.165,1.106,0.625,863,863,100,1994-02-01
"1994-03",1994,3,-0.273,-0.431,-0.778,0.805,0.398,863,863,100,1994-03-01
"1994-04",1994,4,-0.245,-0.354,-0.702,0.789,0.323,863,863,100,1994-04-01
"1994-05",1994,5,-0.031,-0.063,-0.458,0.415,0.208,863,863,100,1994-05-01
"1994-06",1994,6,0.018,-0.016,-0.403,0.539,0.193,863,863,100,1994-06-01
"1994-07",1994,7,0.002,-0.085,-0.6,0.638,0.262,863,863,100,1994-07-01
