"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1966,-0.0400137768465531,0.309360002717322,0.515323975353115,0.501043771214431,0.930365112044777,0.707736326767522,0.722431236217871,1.11627850123545,0.656931455157929,1.62499710872779,1.60573955724847,1.42741066551335
1967,1.66590008016183,1.53164056320913,1.43337528260959,1.12134875392294,1.2795031462251,1.02189341974316,0.647316816893345,0.433430573865387,0.185042849247681,0.688145529590311,0.213357287855333,0.147293010228331
1968,0.33431098318292,0.261183161712408,0.579454365041654,0.697432229977702,1.08565901533494,1.11101895053816,1.29189422215967,1.0592367601197,0.760177290762204,1.6444154830722,1.51000712328114,1.00607609344183
1969,0.672297623828692,0.323557762441747,-0.0959534523873787,0.170718999563526,-0.0318421136063391,-0.199285333272184,-0.542429326853186,-0.258051139475356,-0.53334224113066,-0.928908257324312,-0.457699179024182,-0.164559681640977
1970,-0.169511290140564,-0.252184377507767,-0.510648798190261,-0.182245038884264,0.266031126548108,0.0906277100086738,-0.26074305329633,-0.765059422458296,-0.474015828576293,-1.23679433438399,-1.46903236155577,-1.57388199560983
1971,-0.586562581154628,-0.594897795858476,-0.558621259886278,-0.840870642010733,-0.657835517441852,-0.482060685436582,-0.433653492344545,-0.226446628570145,0.225755884226653,0.389090372671413,0.84466329566246,0.279501010830061
1972,0.403037186420474,0.752643798341494,0.94881318770515,1.27717882954393,0.806999920049726,1.22670442756761,1.25801806615575,0.930581322865605,1.1773772698785,0.781228996420942,0.844225085002129,0.989168660933949
1973,0.898520606390273,0.473944084905937,0.251644662553154,0.43424040135068,0.0240577717652359,-0.127892992303085,-0.0777487322673752,-0.32399415382337,0.303808375321944,0.420448873043589,-0.105430815951201,-0.484596079484143
1974,-0.00923208856215843,0.136282800483055,0.403729826837716,0.401467304018897,0.4833100898141,0.42585838610864,0.603405847192355,-0.212056018480978,-0.529379443956662,-0.036677365408803,-0.587186845006034,-0.592285562019123
1975,-0.672172194422022,-0.902959462992928,-0.943148895301915,-1.26700888440657,-1.05635400031305,-0.988400511400553,-0.756707843497965,-0.179151916848124,-0.727624592211941,-0.157427985407503,0.822591800578657,1.11142189168182
1976,1.45883678783683,1.52476019008517,1.71803813401762,1.59265571367515,1.70810583336251,2.20639470489779,2.09136397202742,2.6322252463603,2.53189621911262,1.509228753054,1.04550766344918,1.21938091137614
1977,0.883510811746638,0.766811681833588,1.04962957194073,0.771998970415567,0.408508732013385,0.280934218850322,0.503123984071151,0.521866003784515,0.469234250362523,0.782215628990533,0.458984908094172,0.549768356890774
1978,-0.039910303727354,-0.561910151130175,-0.381392587086348,-0.423661478320025,-0.518226937761469,-1.40350402075119,-1.53883881481109,-1.10545477302581,-0.96431353816953,-1.13128441588005,-0.739992640167593,-0.294483319294779
1979,-0.32323597171998,-0.146408705345163,-0.175651123441239,-0.226836699428553,0.186855361715529,0.337048130238076,-0.0783393319992293,-0.439354267415607,-0.395774292514203,-1.01738243759481,-1.86242048963198,-1.48248642267619
