"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1955-05-01,1955,5,2197.83726530107,1148.99408817291,10543.7889099121,1149.3304632808
1955-06-01,1955,6,1714.28688578476,540.273725986481,6103.74164581299,608.334883395401
1955-07-01,1955,7,2697.29284861239,1410.68708896637,4355.8497428894,574.83061842801
1955-08-01,1955,8,2168.67171929163,596.516788005829,10303.4086227417,1193.04496915122
1955-09-01,1955,9,1600.62524197598,476.291626691818,7054.46863174438,1026.94524417626
1955-10-01,1955,10,4612.34464439062,1367.92290210724,25154.109954834,3476.74538275406
1955-11-01,1955,11,3026.65908081769,1429.99339103699,14503.378868103,1837.36221898017
1955-12-01,1955,12,1936.65077264223,1170.41873931885,10401.5398025513,1223.83748196058
1956-01-01,1956,1,1939.73428860509,1120.37968635559,8196.14315032959,963.246462841397
1956-02-01,1956,2,1968.82428313138,789.752244949341,12399.1575241089,1533.00295778034
