"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1959-10-01,1959,10,109.699565271438,56.2148031312972,499.035635963082,60.5343025334194
1959-11-01,1959,11,107.487034864094,55.9801259078085,480.094347149134,68.0524316017221
1959-12-01,1959,12,125.097419381536,22.0742251258343,787.598507478833,125.595733817763
1960-01-01,1960,1,52.5897359981189,20.1785480603576,311.59248854965,41.1403345775135
1960-02-01,1960,2,55.4840030270835,15.9618228208274,319.371309131384,42.3124030101469
1960-03-01,1960,3,79.6591807198943,18.1656619533896,484.360939823091,66.1704815948145
1960-04-01,1960,4,47.4040174848354,20.460442174226,326.679311692715,42.2245412843402
1960-05-01,1960,5,86.0975610378843,54.742100648582,222.720044665039,19.0008660174288
1960-06-01,1960,6,74.7610353211539,45.777359046042,215.761461295187,19.3916979956742
1960-07-01,1960,7,40.5764219089573,15.4744300525635,152.874513529241,19.0699163873884
1960-08-01,1960,8,97.1014027945209,54.3447923846543,274.166751652956,24.8305738492425
1960-09-01,1960,9,50.1794591403832,20.9124502725899,251.74068287015,28.8582806508304
1960-10-01,1960,10,144.018122262102,54.2288103606552,743.22366528213,97.5501025839115
1960-11-01,1960,11,71.8210262090507,34.5960818231106,432.337280362844,55.5001925929122
1960-12-01,1960,12,59.3109116375939,26.379446964711,336.086500436068,44.8852471562189
1961-01-01,1961,1,96.2297437750477,33.2853035070002,556.447697803378,82.1278839361179
1961-02-01,1961,2,109.367680779608,46.739305369556,617.831125855446,83.762011809331
1961-03-01,1961,3,38.7433223885682,14.3483239226043,226.115259807557,26.2823406002324
1961-04-01,1961,4,55.0154696442018,20.8442006260157,339.299971237779,42.1479004259655
1961-05-01,1961,5,60.5438975964955,26.0726998094469,92.7610138896853,13.3084048045759
1961-06-01,1961,6,55.9036064960433,16.7944561690092,172.039372846484,35.6259061461328
1961-07-01,1961,7,35.9241459413318,14.9835436604917,76.6536160372198,10.6996613155006
1961-08-01,1961,8,35.6048400636811,6.7487401101971,179.048095829785,22.9094619677819
1961-09-01,1961,9,92.187348365514,60.1081363856792,365.060549229383,38.9456265683699
1961-10-01,1961,10,149.14659339391,56.0323600657284,649.822920560837,86.8566732286819
1961-11-01,1961,11,90.9094360753961,37.1753051877022,404.020585119724,57.9675945730527
1961-12-01,1961,12,76.3550690174834,35.1262700278312,493.239494040608,63.5905850385563
1962-01-01,1962,1,145.839391706608,52.2741354070604,689.958749338984,113.66471025221
1962-02-01,1962,2,28.6340475839887,7.84315634518862,174.132224172354,26.836944867711
1962-03-01,1962,3,27.4529981098193,12.4084525741637,179.58332085982,21.2174275109556
1962-04-01,1962,4,63.3820592256145,25.4454952664673,425.349678844213,52.9059808598515
1962-05-01,1962,5,46.038562725867,20.1827704440802,118.137684417889,15.2107126330348
1962-06-01,1962,6,83.6061207789346,54.0093029849231,238.184072077274,22.6128597640868
1962-07-01,1962,7,45.9803907638964,14.0892500057817,102.734536863863,17.4635305401953
1962-08-01,1962,8,100.62705181519,46.445318730548,341.384530998766,26.9193212764748
1962-09-01,1962,9,68.2830239795738,28.9932684972882,257.891211658716,30.6235957150912
1962-10-01,1962,10,119.905430956046,70.997238624841,511.528521776199,56.4658262959089
1962-11-01,1962,11,113.925105524439,57.0077053271234,615.286957472563,79.5736497703601
1962-12-01,1962,12,107.988229637746,53.7933274172246,553.849885240197,75.7078990864327
1963-01-01,1963,1,53.2398488159487,23.9452968817204,279.510918073356,35.5767532257227
1963-02-01,1963,2,86.5430302335354,28.9700506255031,434.328954666853,59.102317388591
1963-03-01,1963,3,51.8489853748672,17.9428211413324,228.220706339926,25.9096761713415
1963-04-01,1963,4,48.318115922694,27.2439373657107,173.160578124225,15.8654685853611
1963-05-01,1963,5,32.8432804819542,16.4277071598917,153.97908911109,14.9229325556731
1963-06-01,1963,6,56.8300820528888,25.1066079363227,258.479341864586,26.291549437554
1963-07-01,1963,7,105.130615430553,55.7325419504195,189.49627969414,20.2346619190968
1963-08-01,1963,8,51.5226063316444,12.9307073075324,100.703166099265,18.8313812230173
1963-09-01,1963,9,93.5446915382148,36.8963973596692,396.062973886728,44.1829997670418
1963-10-01,1963,10,116.157830335417,31.0355597175658,774.765694513917,102.964089298987
1963-11-01,1963,11,124.36196709745,50.3619178198278,651.155300438404,93.7887178237515
1963-12-01,1963,12,117.197410662725,37.6577659044415,539.451455697417,86.2383014682506
1964-01-01,1964,1,79.606478412112,29.9970770720392,536.652643233538,63.2952133777801
1964-02-01,1964,2,91.4066333923704,24.4241547770798,640.375597402453,89.9500518453585
1964-03-01,1964,3,81.848356025757,36.8236033245921,463.897290639579,52.2635825652371
1964-04-01,1964,4,70.7392976171552,33.4797729738057,434.559881687164,52.2739042039797
1964-05-01,1964,5,52.243139469818,23.4141137916595,193.049491383135,19.292527538103
1964-06-01,1964,6,82.0905805620201,41.2224652245641,182.187748141587,21.4977026987127
1964-07-01,1964,7,106.976023717147,61.6383864544332,228.487820830196,23.9799737263026
1964-08-01,1964,8,87.7998615509717,48.1384079903364,234.542978927493,22.6470042795436
1964-09-01,1964,9,94.0956701395498,35.8008476905525,413.267891854048,47.7252278375704
1964-10-01,1964,10,127.7531295832,43.6376861762255,636.636726558208,91.8089138768768
1964-11-01,1964,11,80.2033114651581,47.5748861208558,365.522168576717,44.9887149322227
1964-12-01,1964,12,52.4472911022783,31.1287192162126,273.934166878462,30.8390158591541
1965-01-01,1965,1,97.3358741696456,46.6730098705739,521.069983020425,59.8183151120733
1965-02-01,1965,2,105.962973052206,32.4819944798946,630.59937953949,94.5683724767379
1965-03-01,1965,3,12.4124106062634,5.5117621232057,41.0006884485483,6.10312369962785
1965-04-01,1965,4,61.0860693373831,31.456695869565,213.918434455991,26.2411388135046
1965-05-01,1965,5,60.5631148761583,30.389737104997,245.558131486177,27.3576427303862
1965-06-01,1965,6,40.297028050248,14.4810439087451,92.9602445103228,19.0115264395581
1965-07-01,1965,7,74.047016696288,18.0337792262435,155.941537581384,25.7904558761172
1965-08-01,1965,8,45.4588832146155,21.7526599299163,90.0854661595076,11.5080775824478
1965-09-01,1965,9,60.9072035297591,22.7372953668237,253.897234797478,30.7201851227705
1965-10-01,1965,10,162.483636035407,64.5078751258552,832.000892609358,117.962287336555
1965-11-01,1965,11,61.17575030855,21.8009180389345,338.030001148582,45.1631520763171
1965-12-01,1965,12,92.0084967990132,37.5085677951574,530.346466228366,73.1184629394462
1966-01-01,1966,1,113.236450083444,46.6350661590695,546.243820339441,67.6546591379374
1966-02-01,1966,2,59.485073564827,21.9509219750762,363.751128315926,47.2566881434825
1966-03-01,1966,3,93.1545654209057,24.8346752487123,509.343391284347,72.1847022480218
1966-04-01,1966,4,52.5696772059565,29.2114703916013,227.665426209569,26.5954674333371
1966-05-01,1966,5,71.6837872037289,33.4659998770803,424.377020448446,47.1979824046324
1966-06-01,1966,6,61.3040392280754,30.6004076264799,187.755273655057,17.9634681120629
1966-07-01,1966,7,61.3773597075922,21.1208469700068,138.937846757472,22.0485606764036
1966-08-01,1966,8,103.59453293429,45.2870863955468,236.91129591316,32.9900398405501
1966-09-01,1966,9,73.062759524894,22.5585792213678,354.940602555871,42.096087791096
1966-10-01,1966,10,157.770335653479,69.206926273182,828.136567026377,115.4342018083
1966-11-01,1966,11,103.160564987067,52.8178573586047,463.052457198501,59.6435768055244
1966-12-01,1966,12,108.058697800178,42.5352759193629,587.507754564285,72.7966257610221
1967-01-01,1967,1,108.520078867341,46.2397572118789,633.375169709325,81.9047953826161
1967-02-01,1967,2,101.790078456316,25.5270153284073,665.504530072212,94.8379571388301
1967-03-01,1967,3,52.4842637692203,29.7520994208753,238.237672951072,24.5294112273117
