"Index","N_obs","N_total","Completeness_pct","Period_start","Period_end","LR_slope","LR_pvalue","LR_significant","LR_rsquared","Sens_slope","Sens_pvalue","Sens_significant","MK_tau","MK_pvalue","MK_significant","Point_ID","Point_X","Point_Y"
"SPI6",907,912,99.5,"1950-06","2025-12",-0.000523547396208729,9.09169538332146e-05,TRUE,0.0167911249192695,-0.000226818067205828,0.0788438009063681,FALSE,-0.0389807485044003,0.0788438022136688,FALSE,2,1116076.59127834,1023397.86339859
"SPI12",901,912,98.8,"1950-12","2025-12",-0.000633042337591148,3.22318687600711e-06,TRUE,0.0238390895482526,-0.000299768571698084,0.0201626425225457,TRUE,-0.0517065525054932,0.0201626513153315,TRUE,2,1116076.59127834,1023397.86339859
"SPEI1",912,912,100,"1950-01","2025-12",-0.000212778492843024,0.0878754238438486,FALSE,0.00319759051342509,-0.000222510090079712,0.0950309545078771,FALSE,-0.036926843225956,0.0950309559702873,FALSE,2,1116076.59127834,1023397.86339859
"SPEI3",910,912,99.8,"1950-03","2025-12",-0.000376680595352907,0.00248284033508532,TRUE,0.0100354654442832,-0.000307148007246164,0.0182466578520425,TRUE,-0.0522709414362907,0.0182466544210911,TRUE,2,1116076.59127834,1023397.86339859
"SPEI6",907,912,99.5,"1950-06","2025-12",-0.000498667582700438,6.68972111554054e-05,TRUE,0.0174215059469972,-0.000373916703838486,0.00462770921618171,TRUE,-0.0628104656934738,0.00462771067395806,TRUE,2,1116076.59127834,1023397.86339859
"SPEI12",901,912,98.8,"1950-12","2025-12",-0.000697050104922775,4.54667158190982e-08,TRUE,0.0327311469710617,-0.000559147283286459,3.74822397084009e-05,TRUE,-0.0917400345206261,3.7482244806597e-05,TRUE,2,1116076.59127834,1023397.86339859
"SPI1",912,912,100,"1950-01","2025-12",-7.02424165874725e-05,0.591228525937388,FALSE,0.00031707971597309,-2.78431522692497e-05,0.833201155088291,FALSE,-0.00466038892045617,0.833201169967651,FALSE,3,1001987.44247207,1096740.88763119
"SPI3",910,912,99.8,"1950-03","2025-12",-0.000228850418848761,0.0806357782483522,FALSE,0.00335747992632537,-4.62544785542613e-05,0.721695569050622,FALSE,-0.00788936018943787,0.72169554233551,FALSE,3,1001987.44247207,1096740.88763119
"SPI6",907,912,99.5,"1950-06","2025-12",-0.000290902155960711,0.0318392516571465,TRUE,0.00508061486103075,-4.34078766634472e-05,0.732231032535348,FALSE,-0.00759128341451287,0.732231020927429,FALSE,3,1001987.44247207,1096740.88763119
"SPI12",901,912,98.8,"1950-12","2025-12",-0.000333989848871295,0.0143737604989747,TRUE,0.00664631360206117,-0.000120145805905073,0.345465559289225,FALSE,-0.0209978483617306,0.345465540885925,FALSE,3,1001987.44247207,1096740.88763119
"SPEI1",912,912,100,"1950-01","2025-12",-7.94775621541354e-05,0.52328885510288,FALSE,0.00044784508204055,-4.73414134121961e-05,0.720209019272684,FALSE,-0.0079245874658227,0.720209002494812,FALSE,3,1001987.44247207,1096740.88763119
"SPEI3",910,912,99.8,"1950-03","2025-12",-0.000163239504267814,0.190088770159695,FALSE,0.00189014426925725,-9.66167533471155e-05,0.451576514718419,FALSE,-0.016670897603035,0.45157653093338,FALSE,3,1001987.44247207,1096740.88763119
"SPEI6",907,912,99.5,"1950-06","2025-12",-0.000209966566910479,0.096836299328566,FALSE,0.00304333039823062,-0.000124771925330485,0.355266371975001,FALSE,-0.0205052196979523,0.355266332626343,FALSE,3,1001987.44247207,1096740.88763119
"SPEI12",901,912,98.8,"1950-12","2025-12",-0.000288229217782691,0.0230786387919803,TRUE,0.00572929439513988,-0.000248741434395612,0.0633705681832083,FALSE,-0.0413170531392097,0.0633705705404282,FALSE,3,1001987.44247207,1096740.88763119
"SPI1",912,912,100,"1950-01","2025-12",-7.1879804430897e-06,0.956136563350945,FALSE,3.32628578010664e-06,3.80820942115217e-05,0.76978193068894,FALSE,0.00647543696686625,0.769781947135925,FALSE,4,1001987.44247207,1153785.46203433
"SPI3",910,912,99.8,"1950-03","2025-12",-0.000118278688116497,0.374718407156235,FALSE,0.000867895869828272,0.000110856240976113,0.390260452389891,FALSE,0.0190258584916592,0.390260457992554,FALSE,4,1001987.44247207,1153785.46203433
"SPI6",907,912,99.5,"1950-06","2025-12",-0.000111369670383164,0.415088812247576,FALSE,0.000734034373682844,0.000180240894228683,0.150312055567308,FALSE,0.0319064818322659,0.150312066078186,FALSE,4,1001987.44247207,1153785.46203433
"SPI12",901,912,98.8,"1950-12","2025-12",-9.16767436940406e-05,0.502423242416839,FALSE,0.000500502456154293,0.000240605640199482,0.0572401770072621,FALSE,0.0423188172280788,0.0572402477264404,FALSE,4,1001987.44247207,1153785.46203433
"SPEI1",912,912,100,"1950-01","2025-12",-1.59400527039288e-05,0.89744419452339,FALSE,1.82656834605976e-05,2.28449060484866e-05,0.855859466548375,FALSE,0.00402006693184376,0.855859518051147,FALSE,4,1001987.44247207,1153785.46203433
"SPEI3",910,912,99.8,"1950-03","2025-12",-2.26613704363941e-05,0.857224826648581,FALSE,3.56653351115763e-05,7.13466776960809e-05,0.573577694109717,FALSE,0.0124638834968209,0.573577642440796,FALSE,4,1001987.44247207,1153785.46203433
"SPEI6",907,912,99.5,"1950-06","2025-12",2.66098141884206e-05,0.834904480709676,FALSE,4.80221232560464e-05,0.000118957391152015,0.36146823677083,FALSE,0.0202423632144928,0.361468315124512,FALSE,4,1001987.44247207,1153785.46203433
"SPEI12",901,912,98.8,"1950-12","2025-12",3.00532466827966e-05,0.813277496085671,FALSE,6.20909171472507e-05,0.000164826184438163,0.219140041412682,FALSE,0.0273473896086216,0.21914005279541,FALSE,4,1001987.44247207,1153785.46203433
"SPI1",912,912,100,"1950-01","2025-12",-0.000166238916781529,0.20410798934229,FALSE,0.00177163722772385,-0.000103651570181151,0.431795532512659,FALSE,-0.0173897985368967,0.431795537471771,FALSE,5,1083479.69161941,1064143.98797226
"SPI3",910,912,99.8,"1950-03","2025-12",-0.0003442019748053,0.00840256822708495,TRUE,0.00762433526470724,-0.000150296887660997,0.25053228069327,FALSE,-0.0254452135413885,0.250532269477844,FALSE,5,1083479.69161941,1064143.98797226
"SPI6",907,912,99.5,"1950-06","2025-12",-0.000452297442845564,0.000817775582271355,TRUE,0.0123066647422485,-0.000139933346971321,0.265965432917029,FALSE,-0.0246748626232147,0.265965402126312,FALSE,5,1083479.69161941,1064143.98797226
"SPI12",901,912,98.8,"1950-12","2025-12",-0.000528360517043016,9.88653721765564e-05,TRUE,0.0167290903125559,-0.000216310033288503,0.0842238549216839,FALSE,-0.0384295657277107,0.0842238590121269,FALSE,5,1083479.69161941,1064143.98797226
"SPEI1",912,912,100,"1950-01","2025-12",-0.000148482601678134,0.234106973117912,FALSE,0.00155539483843947,-0.000130233202586939,0.329313510153945,FALSE,-0.0215783715248108,0.329313516616821,FALSE,5,1083479.69161941,1064143.98797226
"SPEI3",910,912,99.8,"1950-03","2025-12",-0.000282180937534913,0.0236635517557745,TRUE,0.00562502623960658,-0.000206428465291197,0.119857610397241,FALSE,-0.0344419069588184,0.119857609272003,FALSE,5,1083479.69161941,1064143.98797226
"SPEI6",907,912,99.5,"1950-06","2025-12",-0.000380057889952441,0.00251587587340573,TRUE,0.0100421135719538,-0.00024240700009769,0.0708423565750525,FALSE,-0.0400685369968414,0.0708423405885696,FALSE,5,1083479.69161941,1064143.98797226
"SPEI12",901,912,98.8,"1950-12","2025-12",-0.000545858315219292,1.7726009227308e-05,TRUE,0.020291259087513,-0.000400086735337259,0.00279610679945926,TRUE,-0.0665236115455627,0.00279610650613904,TRUE,5,1083479.69161941,1064143.98797226
