"date","year","month","n_days","tas_mean_C","pr_total_mm"
1984-09-01,1984,9,30,5.29169091815502,119.258976506143
1984-10-01,1984,10,31,-1.2581090511764,52.4247216132994
1984-11-01,1984,11,30,-5.30914413273543,99.0703123203949
1984-12-01,1984,12,31,-16.6670847284226,90.8395573170887
1985-01-01,1985,1,31,-15.1415610589239,156.194611489468
1985-02-01,1985,2,28,-15.4252448715478,59.2033637131655
1985-03-01,1985,3,31,-10.850563673991,91.7941953836945
1985-04-01,1985,4,30,-6.02286447301761,98.2483188041088
1985-05-01,1985,5,31,-2.29012343990175,75.9047559686912
1985-06-01,1985,6,30,6.24154680691355,75.3366657708417
1985-07-01,1985,7,31,11.6171729964948,145.399812860942
1985-08-01,1985,8,31,11.0367870115651,81.1779116940785
1985-09-01,1985,9,30,6.66198324446129,98.7509969150368
1985-10-01,1985,10,31,-0.639574550865936,87.5796897941228
1985-11-01,1985,11,30,-6.6458323926962,43.9822891684318
1985-12-01,1985,12,31,-13.445797194238,104.087592906387
1986-01-01,1986,1,31,-16.5947804532793,106.352044433031
1986-02-01,1986,2,28,-15.2020166552928,56.6400914974696
1986-03-01,1986,3,31,-15.6020488680555,57.4432395867274
1986-04-01,1986,4,30,-3.48536732031253,60.0747760262276
1986-05-01,1986,5,31,2.36491501891335,44.9111640784036
1986-06-01,1986,6,30,5.68844924869031,116.696061357359
1986-07-01,1986,7,31,9.78445896016053,101.227021639864
1986-08-01,1986,8,31,11.6399179428204,88.0083721973038
1986-09-01,1986,9,30,4.70184879792863,80.2784041867944
1986-10-01,1986,10,31,-2.29149145912786,82.2549770069617
1986-11-01,1986,11,30,-10.9496755050813,81.7149962194311
1986-12-01,1986,12,31,-14.9095607563637,45.0988976543193
1987-01-01,1987,1,31,-18.9643462362908,41.6941494014719
1987-02-01,1987,2,28,-11.5987662865972,134.906129016487
1987-03-01,1987,3,31,-10.100228958334,49.7589424354457
1987-04-01,1987,4,30,-3.01129308750394,32.8989151233022
1987-05-01,1987,5,31,0.435104627842291,76.2997469617321
1987-06-01,1987,6,30,7.38503913440477,82.5232656566161
1987-07-01,1987,7,31,11.0859396568836,123.838459258778
1987-08-01,1987,8,31,10.3753946378034,71.7907188862289
1987-09-01,1987,9,30,6.60762867441996,73.9348225743343
1987-10-01,1987,10,31,1.04101721307029,123.402562544871
1987-11-01,1987,11,30,-6.33905567653884,71.7561887906603
1987-12-01,1987,12,31,-10.9908170988779,71.9558145404289
1988-01-01,1988,1,31,-19.0716476776954,63.0485643469985
1988-02-01,1988,2,29,-20.6843200051706,58.5069675338548
1988-03-01,1988,3,31,-9.9072839405952,107.520869959378
1988-04-01,1988,4,30,-3.82626142587648,33.1335804725396
1988-05-01,1988,5,31,0.92808378928928,63.4498441876703
1988-06-01,1988,6,30,5.73958885375288,127.93375106401
1988-07-01,1988,7,31,11.6216621753466,85.5578544589481
1988-08-01,1988,8,31,11.7249310151534,55.5124100336249
1988-09-01,1988,9,30,5.96480223719495,104.266323577229
1988-10-01,1988,10,31,0.86287558674332,62.123166752079
1988-11-01,1988,11,30,-4.21995741615077,123.870949414384
1988-12-01,1988,12,31,-16.9013714690502,51.0106945065293
1989-01-01,1989,1,31,-20.7709076970247,35.1793096297667
1989-02-01,1989,2,28,-20.3940134125296,16.5462119500312
1989-03-01,1989,3,31,-14.7500822694685,54.2051994945448
1989-04-01,1989,4,30,-3.39999762609405,110.840508022779
1989-05-01,1989,5,31,0.70516950009988,62.7236800573035
1989-06-01,1989,6,30,10.2695336439255,74.469962127164
1989-07-01,1989,7,31,10.9947035750266,121.208919503116
1989-08-01,1989,8,31,9.88864678856929,149.838712734664
1989-09-01,1989,9,30,6.70918261965205,131.863736199918
1989-10-01,1989,10,31,-0.417335561599441,74.3428513242266
1989-11-01,1989,11,30,-7.29558486405604,128.447481593974
1989-12-01,1989,12,31,-12.0457454969587,128.258230682568
1990-01-01,1990,1,31,-20.5386583892338,62.3370283223892
1990-02-01,1990,2,28,-24.2099877017192,27.4559624642854
1990-03-01,1990,3,31,-14.3301932819616,31.5646111456778
1990-04-01,1990,4,30,-6.16203432459084,60.781506296856
1990-05-01,1990,5,31,-1.32905529037437,48.2310607686627
1990-06-01,1990,6,30,5.76243672933364,91.5173865722953
1990-07-01,1990,7,31,10.7715902884019,98.8229453708153
1990-08-01,1990,8,31,11.6093370237429,102.489466512075
1990-09-01,1990,9,30,5.95281922706943,113.782751480225
1990-10-01,1990,10,31,-0.54246871774102,88.9188883399148
1990-11-01,1990,11,30,-5.29415607759121,121.290467548899
1990-12-01,1990,12,31,-15.7085584588238,79.0369184962047
1991-01-01,1991,1,31,-25.781407132134,30.0458357941064
1991-02-01,1991,2,28,-19.7327925993613,38.3804969457573
1991-03-01,1991,3,31,-10.1277629537296,62.2175656428019
1991-04-01,1991,4,30,-7.6643324049061,30.9551016385742
1991-05-01,1991,5,31,-1.39372215863965,36.6870491232327
1991-06-01,1991,6,30,4.18044020482335,139.32031483135
1991-07-01,1991,7,31,9.60749985685356,103.796116447741
1991-08-01,1991,8,31,10.9866108018677,98.5887507215342
1991-09-01,1991,9,30,6.2203515128487,95.9031274024586
1991-10-01,1991,10,31,0.564208497585626,99.6038812366198
1991-11-01,1991,11,30,-5.31848858643072,60.4673709412182
1991-12-01,1991,12,31,-18.0205937608431,54.1119977561498
1992-01-01,1992,1,31,-17.8327561420526,71.9554002092159
1992-02-01,1992,2,29,-23.0971950646283,23.5292457493018
1992-03-01,1992,3,31,-12.0150138192947,120.595864259858
1992-04-01,1992,4,30,-7.20445843013835,82.5508563049311
1992-05-01,1992,5,31,-1.80316852041048,75.6437027769498
1992-06-01,1992,6,30,5.430438412562,71.3993811425763
1992-07-01,1992,7,31,9.4114723113451,97.5181945965758
1992-08-01,1992,8,31,9.92578670207956,144.552570825251
1992-09-01,1992,9,30,6.98128068481684,74.6340575054187
1992-10-01,1992,10,31,0.851644217450666,82.7615753722888
1992-11-01,1992,11,30,-9.52714395872079,29.1727112235802
1992-12-01,1992,12,31,-15.8338255226142,45.2429690453254
1993-01-01,1993,1,31,-20.4255635469693,31.0264037337552
1993-02-01,1993,2,28,-22.8471415790036,66.0195760613841
1993-03-01,1993,3,31,-15.9464975097682,60.7976903277183
1993-04-01,1993,4,30,-5.86952003778718,58.8039837748987
1993-05-01,1993,5,31,-0.498552404388401,81.4694750783559
1993-06-01,1993,6,30,6.29025758995942,50.5511526017938
1993-07-01,1993,7,31,10.2442145999567,72.6972291483169
1993-08-01,1993,8,31,12.2885855136481,83.2926726839284
1993-09-01,1993,9,30,6.44777264975958,100.426187225926
1993-10-01,1993,10,31,-0.952943415925607,130.063030720835
1993-11-01,1993,11,30,-7.8090305798958,49.0881686470347
1993-12-01,1993,12,31,-13.5019252079098,63.371400112672
1994-01-01,1994,1,31,-21.4807215892515,78.481602140177
1994-02-01,1994,2,28,-21.7429561181325,40.9144177573476
1994-03-01,1994,3,31,-12.1822846709566,66.5456125004412
1994-04-01,1994,4,30,-6.82253101940265,73.6710568497028
1994-05-01,1994,5,31,-0.887670905259959,58.9496914466509
1994-06-01,1994,6,30,7.43378389968737,63.3589588865921
1994-07-01,1994,7,31,12.5593577544604,76.6732548418781
1994-08-01,1994,8,31,10.3544321067116,179.735752164192
1994-09-01,1994,9,30,6.54122095279789,52.8558220871008
1994-10-01,1994,10,31,2.4036101595536,82.8766091035268
1994-11-01,1994,11,30,-4.40372664908653,115.91895732562
1994-12-01,1994,12,31,-13.1747772338952,59.3442242856023
1995-01-01,1995,1,31,-20.4072835396959,52.1429566439659
1995-02-01,1995,2,28,-20.9580693023409,49.5271289354143
1995-03-01,1995,3,31,-14.2309342969085,60.2754509987097
1995-04-01,1995,4,30,-3.25256775405726,98.1570469938914
1995-05-01,1995,5,31,1.51534030228101,33.983946080326
1995-06-01,1995,6,30,7.53723478979204,66.7383970011574
1995-07-01,1995,7,31,12.1184377832347,104.248520516423
1995-08-01,1995,8,31,11.2754920402436,66.8322591545185
1995-09-01,1995,9,30,6.45488886220824,94.9651244193754
1995-10-01,1995,10,31,1.6282410104172,90.1025807776923
1995-11-01,1995,11,30,-6.29298674310111,58.6855570703001
1995-12-01,1995,12,31,-11.4837068434964,82.2657725775058
1996-01-01,1996,1,31,-18.4191549905996,75.2475653453323
1996-02-01,1996,2,29,-14.2518052276533,96.2307458307615
1996-03-01,1996,3,31,-10.2712238680589,108.458369844303
1996-04-01,1996,4,30,-1.9003493909321,56.0682409869132
1996-05-01,1996,5,31,-0.661304287739256,54.1787006461815
1996-06-01,1996,6,30,6.43724218897772,108.413934830287
1996-07-01,1996,7,31,10.3009185298636,129.609124142975
1996-08-01,1996,8,31,13.6095751249283,69.8869350383364
1996-09-01,1996,9,30,6.19297523346521,64.5327848895725
1996-10-01,1996,10,31,0.0511808218479979,86.8697752598807
1996-11-01,1996,11,30,-4.23663497750241,60.0212531461779
1996-12-01,1996,12,31,-9.98842978880921,120.928425444064
1997-01-01,1997,1,31,-15.2293413432901,75.8092574528536
1997-02-01,1997,2,28,-22.4032618831272,13.0771130326547
1997-03-01,1997,3,31,-15.5236148802547,62.6199438750353
1997-04-01,1997,4,30,-5.70221540434539,97.325444839209
1997-05-01,1997,5,31,1.36043251095954,96.3142485373552
1997-06-01,1997,6,30,7.94633175324089,88.757258169996
1997-07-01,1997,7,31,10.1383075747634,205.863189870756
1997-08-01,1997,8,31,10.722390520097,88.0253801348698
1997-09-01,1997,9,30,7.82271808979668,123.064831352927
1997-10-01,1997,10,31,1.02274479062839,60.0157188334436
1997-11-01,1997,11,30,-5.64065845984938,69.1715297137892
1997-12-01,1997,12,31,-10.7470863336192,64.0875212782206
1998-01-01,1998,1,31,-16.5232591862228,88.5625501454714
1998-02-01,1998,2,28,-14.6571772845533,89.4492151828139
1998-03-01,1998,3,31,-11.6989425029241,72.3237609890621
1998-04-01,1998,4,30,-3.52275807479604,67.1714472409057
1998-05-01,1998,5,31,4.01787988348267,76.7547651476975
1998-06-01,1998,6,30,10.0711790243359,69.1279023083922
1998-07-01,1998,7,31,12.8335375712192,97.5416250850649
1998-08-01,1998,8,31,11.8248038839691,65.1570659931479
1998-09-01,1998,9,30,7.04396807209089,124.276108511243
1998-10-01,1998,10,31,0.426279606450795,95.0510406826974
1998-11-01,1998,11,30,-4.91445310231868,91.1516920419941
1998-12-01,1998,12,31,-12.1419178312761,96.8384731503072
1999-01-01,1999,1,31,-17.3389112606712,90.6082708801275
1999-02-01,1999,2,28,-14.8380175925008,66.6846605826917
1999-03-01,1999,3,31,-6.07197274886949,114.553421967027
1999-04-01,1999,4,30,-3.50823160510084,93.4113992785183
1999-05-01,1999,5,31,1.58275143828591,84.083882491216
1999-06-01,1999,6,30,9.25077975990864,120.95226587867
1999-07-01,1999,7,31,11.7839244978057,147.628409696624
1999-08-01,1999,8,31,11.7113983731866,185.027127714494
1999-09-01,1999,9,30,8.64529080446871,149.713720548478
1999-10-01,1999,10,31,-1.35788181203675,100.726313450049
1999-11-01,1999,11,30,-5.8429916593076,111.618597943387
1999-12-01,1999,12,31,-11.988404375832,44.3501697131103
2000-01-01,2000,1,31,-17.6699289846785,105.729318964505
2000-02-01,2000,2,29,-18.0388931310765,60.7680059501515
2000-03-01,2000,3,31,-9.44765811517247,49.2836669237096
2000-04-01,2000,4,30,-4.34595864242652,82.066099890193
2000-05-01,2000,5,31,-1.05700997081225,85.8880409510728
2000-06-01,2000,6,30,6.94927870979579,131.372729036053
2000-07-01,2000,7,31,12.288570606309,128.911459093779
2000-08-01,2000,8,31,13.9901924705513,81.9216993306968
2000-09-01,2000,9,30,7.43410817965305,77.6343306379704
2000-10-01,2000,10,31,-0.807191980188296,72.389310183404
2000-11-01,2000,11,30,-5.34961981773792,38.5563743352597
2000-12-01,2000,12,31,-10.1564996331251,138.012453453862
2001-01-01,2001,1,31,-19.0289071143408,32.0115323141703
2001-02-01,2001,2,28,-18.5231677037129,77.1907542421329
2001-03-01,2001,3,31,-6.75402245861645,97.7245969190455
2001-04-01,2001,4,30,-6.25298407606222,57.3308320769371
2001-05-01,2001,5,31,1.76760422893688,18.8513541783209
2001-06-01,2001,6,30,8.36152318093473,107.903892308283
2001-07-01,2001,7,31,10.4377054724659,146.490320959516
2001-08-01,2001,8,31,13.0516139274768,99.0962112098638
2001-09-01,2001,9,30,7.38276578735664,93.8494699323593
2001-10-01,2001,10,31,2.38927908168583,114.502167109086
2001-11-01,2001,11,30,-4.68284272778969,116.485369781175
2001-12-01,2001,12,31,-6.83495804174732,127.788134406059
2002-01-01,2002,1,31,-21.2510969165392,22.7798637949547
2002-02-01,2002,2,28,-18.580929856655,74.2241132500783
2002-03-01,2002,3,31,-13.6298093072737,75.1478372904412
2002-04-01,2002,4,30,-6.29028534258308,72.0367479191205
2002-05-01,2002,5,31,-0.676907695927771,78.6849343592647
2002-06-01,2002,6,30,6.22076086152476,71.0704850046922
2002-07-01,2002,7,31,12.3614463953599,133.285806885545
2002-08-01,2002,8,31,10.6342172124217,154.79625632149
2002-09-01,2002,9,30,7.79927976966973,130.041036493081
2002-10-01,2002,10,31,0.807878035819938,117.121339573903
2002-11-01,2002,11,30,-7.19418149055406,74.6373266024891
2002-12-01,2002,12,31,-12.0205582459681,55.3567921560368
2003-01-01,2003,1,31,-14.6058603297594,113.729674716306
2003-02-01,2003,2,28,-18.7646627689619,82.4806987445445
2003-03-01,2003,3,31,-16.2651762041518,71.1569517974768
2003-04-01,2003,4,30,-6.84110906284454,76.7391890064375
2003-05-01,2003,5,31,1.17000487273732,18.6428551321335
2003-06-01,2003,6,30,8.14727484132487,112.85621117789
2003-07-01,2003,7,31,12.2546214434984,144.689901584492
2003-08-01,2003,8,31,13.1616744441461,93.0270208390014
2003-09-01,2003,9,30,11.4473513478659,60.417384322257
2003-10-01,2003,10,31,2.99068164101231,157.627841510004
2003-11-01,2003,11,30,-4.83148080910816,86.4770883726608
2003-12-01,2003,12,31,-10.6485840558993,52.4958572140172
2004-01-01,2004,1,31,-12.2378754777823,118.838216826835
2004-02-01,2004,2,29,-15.1556075478835,78.9795216017081
2004-03-01,2004,3,31,-12.5688221053615,44.071202547225
2004-04-01,2004,4,30,-4.31054961797237,114.943069564037
2004-05-01,2004,5,31,-0.014489236590658,114.918238575846
2004-06-01,2004,6,30,6.35354458930483,99.7338323422939
2004-07-01,2004,7,31,14.4010020023115,103.771632746509
2004-08-01,2004,8,31,12.829055728816,126.933201466867
2004-09-01,2004,9,30,6.36485481917337,63.8589629599534
2004-10-01,2004,10,31,2.69227538770448,91.0383041219263
2004-11-01,2004,11,30,-5.91195751380539,68.0855105832485
2004-12-01,2004,12,31,-13.1103911352323,86.0138151098624
2005-01-01,2005,1,31,-22.508262093733,74.1096452968186
2005-02-01,2005,2,28,-14.6574271798428,90.6718377178185
2005-03-01,2005,3,31,-10.2368409748096,70.3031224507251
2005-04-01,2005,4,30,-3.04826724946771,42.7208579203748
2005-05-01,2005,5,31,2.4705537987302,63.3120157423781
2005-06-01,2005,6,30,9.27773889023211,69.1599636737668
2005-07-01,2005,7,31,13.833886351567,117.224785692173
2005-08-01,2005,8,31,11.0394120214501,129.873556897754
2005-09-01,2005,9,30,7.90717159992654,105.312796329047
2005-10-01,2005,10,31,1.77843745271106,90.5773038969172
2005-11-01,2005,11,30,-4.51590544999003,96.4019896744649
2005-12-01,2005,12,31,-12.2270509298346,107.621525516967
2006-01-01,2006,1,31,-15.2818387443148,125.523982611723
2006-02-01,2006,2,28,-16.9844601778542,89.1908026906441
2006-03-01,2006,3,31,-6.88428254022848,99.6576952976675
2006-04-01,2006,4,30,-1.78466231264879,56.7867270747088
2006-05-01,2006,5,31,3.84358625727141,56.4097353594194
2006-06-01,2006,6,30,11.115695739322,118.031816026829
2006-07-01,2006,7,31,13.0567787611449,144.251966666583
2006-08-01,2006,8,31,11.2902659853938,104.89452414982
2006-09-01,2006,9,30,8.27661636724614,51.6589092316521
2006-10-01,2006,10,31,2.14260991318555,76.2204194240397
2006-11-01,2006,11,30,-3.90242905117847,96.6698250269238
2006-12-01,2006,12,31,-11.3682256492848,46.2790015636474
2007-01-01,2007,1,31,-14.5537704474855,84.1884041126832
2007-02-01,2007,2,28,-14.3447949873623,88.1072642069522
2007-03-01,2007,3,31,-12.8860270347665,114.114810872114
2007-04-01,2007,4,30,-6.32675513687903,58.4118715520648
2007-05-01,2007,5,31,-1.17070374253736,77.448416380465
2007-06-01,2007,6,30,7.78171879091415,85.5777627478168
2007-07-01,2007,7,31,12.9606457475828,85.4445151211585
2007-08-01,2007,8,31,11.5403360837636,106.037817764381
2007-09-01,2007,9,30,6.10375120613617,151.820940209671
2007-10-01,2007,10,31,0.876539759082037,106.969383490981
2007-11-01,2007,11,30,-6.17167676355659,99.5422602968091
2007-12-01,2007,12,31,-16.5273322575483,68.134771906738
2008-01-01,2008,1,31,-19.8895957878398,54.8978991059794
2008-02-01,2008,2,29,-19.2945804749865,41.2041020649519
2008-03-01,2008,3,31,-14.9260382073882,60.630925924486
2008-04-01,2008,4,30,-3.74997162887806,70.646936524307
2008-05-01,2008,5,31,2.00167517814988,71.4547965936479
2008-06-01,2008,6,30,8.62498329656725,83.4361504151303
2008-07-01,2008,7,31,14.9174027234938,108.220480668204
2008-08-01,2008,8,31,12.7137704638448,92.6673511453364
2008-09-01,2008,9,30,8.22122670063079,112.952606266578
2008-10-01,2008,10,31,1.67214443860358,74.9858263828126
2008-11-01,2008,11,30,-4.10928787260842,128.853091036664
2008-12-01,2008,12,31,-15.9177963616018,99.4010522838367
2009-01-01,2009,1,31,-17.8592866087656,92.8353490919825
2009-02-01,2009,2,28,-14.6595746590853,66.1737119666685
2009-03-01,2009,3,31,-13.8423502413956,72.1048866043224
2009-04-01,2009,4,30,-5.41795215415426,100.15283128323
2009-05-01,2009,5,31,-0.737629155575772,56.2833057615314
2009-06-01,2009,6,30,8.30516725950672,64.6856518440757
2009-07-01,2009,7,31,11.8587618571413,90.533554437963
2009-08-01,2009,8,31,11.1328971040894,128.119236623655
2009-09-01,2009,9,30,6.79196115801566,114.061010762509
2009-10-01,2009,10,31,-1.07130992001264,77.5954331636644
2009-11-01,2009,11,30,-4.04521593189552,88.1336712308234
2009-12-01,2009,12,31,-7.48609778156077,106.997982731273
2010-01-01,2010,1,31,-10.9045419226552,108.319409693831
2010-02-01,2010,2,28,-7.35608077926537,113.271930562026
2010-03-01,2010,3,31,-9.85413238588553,38.272714588144
2010-04-01,2010,4,30,-1.13203746438241,100.40660822759
2010-05-01,2010,5,31,0.881505431958326,144.200623207172
2010-06-01,2010,6,30,6.59284798032087,146.537889430692
2010-07-01,2010,7,31,12.4976724690462,134.028551762731
2010-08-01,2010,8,31,14.2756822725538,61.6417975826489
2010-09-01,2010,9,30,6.98741883725258,60.7536954090877
2010-10-01,2010,10,31,2.34834570386201,147.105034717367
2010-11-01,2010,11,30,-2.57299474770769,66.4931777505757
2010-12-01,2010,12,31,-3.83136789476351,86.6487845080031
2011-01-01,2011,1,31,-10.6098540223674,85.2806855932319
2011-02-01,2011,2,28,-18.096653316809,36.7675754654641
2011-03-01,2011,3,31,-11.3720611478551,108.023228922742
2011-04-01,2011,4,30,-5.97272727674452,78.5953354275186
2011-05-01,2011,5,31,0.39405235063101,69.2290646726322
2011-06-01,2011,6,30,7.4896984406018,69.6628898060642
2011-07-01,2011,7,31,12.3154850942319,128.950494952101
2011-08-01,2011,8,31,13.1061398982336,95.5969261205489
2011-09-01,2011,9,30,7.92578062138129,96.3322782539264
2011-10-01,2011,10,31,1.76864131562767,77.5031918558508
2011-11-01,2011,11,30,-5.04198583552126,88.5279597157196
2011-12-01,2011,12,31,-13.3132626455038,107.013213072615
2012-01-01,2012,1,31,-17.967671733522,83.0219472504627
2012-02-01,2012,2,29,-17.5033175861951,66.9707291161928
2012-03-01,2012,3,31,-13.4589986713427,91.0274289061251
2012-04-01,2012,4,30,-3.83784516149547,133.077305293696
2012-05-01,2012,5,31,1.21460647088776,62.0046468089209
2012-06-01,2012,6,30,11.7768926881011,47.250800535047
2012-07-01,2012,7,31,13.7625104209915,105.653438988806
2012-08-01,2012,8,31,14.0752197635627,84.1070386510336
2012-09-01,2012,9,30,9.71288974787496,84.2293437717996
2012-10-01,2012,10,31,2.38152225021562,157.670606393206
2012-11-01,2012,11,30,-3.96397434714232,92.2414446028541
2012-12-01,2012,12,31,-9.66276488868994,98.84424588153
2013-01-01,2013,1,31,-16.7474317464458,84.3299872598439
2013-02-01,2013,2,28,-15.8880519029416,84.9255667542284
2013-03-01,2013,3,31,-5.6726480031348,78.3705058234311
2013-04-01,2013,4,30,-4.90182061492796,52.6909634547271
2013-05-01,2013,5,31,0.0965651963013554,105.592350841973
2013-06-01,2013,6,30,6.2236602913407,73.9711541471704
2013-07-01,2013,7,31,13.6003222293654,84.293668011354
2013-08-01,2013,8,31,11.5455572288171,131.742171334815
2013-09-01,2013,9,30,6.45033808718172,108.233542894275
2013-10-01,2013,10,31,1.66008389302105,80.6942757715087
2013-11-01,2013,11,30,-4.94848636942841,118.10882439854
2013-12-01,2013,12,31,-18.2567796213689,36.1122310195008
2014-01-01,2014,1,31,-17.6444873868987,91.9719736818876
2014-02-01,2014,2,28,-18.9765941686353,39.786538698384
2014-03-01,2014,3,31,-15.9595219120923,73.2649834753058
2014-04-01,2014,4,30,-6.24636710448043,60.8934850272269
2014-05-01,2014,5,31,-0.83891243236299,31.5152434343823
2014-06-01,2014,6,30,9.36216928771383,115.025202622772
