Date,Parameter,Discharge_cms,Symbol
1977-07-21,Flow,8.40999984741211,NA
1977-07-22,Flow,6.96999979019165,NA
1977-07-23,Flow,6.96999979019165,NA
1977-07-24,Flow,8.47000026702881,NA
1977-07-25,Flow,12.6000003814697,NA
1977-07-26,Flow,12.5,NA
1977-07-27,Flow,11.6000003814697,NA
1977-07-28,Flow,18,NA
1977-07-29,Flow,20.7000007629395,NA
1977-07-30,Flow,17.6000003814697,NA
1977-07-31,Flow,13.6999998092651,NA
1977-08-01,Flow,10.6999998092651,NA
1977-08-02,Flow,13.5,NA
1977-08-03,Flow,14.3999996185303,NA
1977-08-04,Flow,15.3999996185303,NA
1977-08-05,Flow,13.5,NA
1977-08-06,Flow,13.1000003814697,NA
1977-08-07,Flow,13.3999996185303,NA
1977-08-08,Flow,14.1999998092651,NA
1977-08-09,Flow,12.3000001907349,NA
1977-08-10,Flow,9.68000030517578,NA
1977-08-11,Flow,9.51000022888184,NA
1977-08-12,Flow,11,NA
1977-08-13,Flow,12.1999998092651,NA
1977-08-14,Flow,12.6999998092651,NA
1977-08-15,Flow,9.11999988555908,NA
1977-08-16,Flow,7.84000015258789,NA
1977-08-17,Flow,8.5,NA
1977-08-18,Flow,9.80000019073486,NA
1977-08-19,Flow,10.3000001907349,NA
1977-08-20,Flow,10.8000001907349,NA
1977-08-21,Flow,12.1000003814697,NA
1977-08-22,Flow,11,NA
1977-08-23,Flow,8.89000034332275,NA
1977-08-24,Flow,6.67999982833862,NA
1977-08-25,Flow,5.21000003814697,NA
1977-08-26,Flow,4.69999980926514,NA
1977-08-27,Flow,4.3899998664856,NA
1977-08-28,Flow,6.17000007629395,NA
1977-08-29,Flow,5.48999977111816,NA
1977-08-30,Flow,4.73000001907349,NA
1977-08-31,Flow,4.3600001335144,NA
1977-09-01,Flow,4.07999992370605,NA
1977-09-02,Flow,4.32999992370605,NA
1977-09-03,Flow,4.80999994277954,NA
1977-09-04,Flow,6.48000001907349,NA
1977-09-05,Flow,5.26999998092651,NA
1977-09-06,Flow,4.42000007629395,NA
1977-09-07,Flow,3.94000005722046,NA
1977-09-08,Flow,3.78999996185303,NA
1977-09-09,Flow,3.99000000953674,NA
1977-09-10,Flow,3.61999988555908,NA
1977-09-11,Flow,3.59999990463257,NA
1977-09-12,Flow,3.74000000953674,NA
1977-09-13,Flow,4.1100001335144,NA
1977-09-14,Flow,3.6800000667572,NA
1977-09-15,Flow,3.48000001907349,NA
1977-09-16,Flow,3.23000001907349,NA
1977-09-17,Flow,3.05999994277954,NA
1977-09-18,Flow,3.05999994277954,NA
1977-09-19,Flow,3.33999991416931,NA
1977-09-20,Flow,3.5699999332428,NA
1977-09-21,Flow,3.36999988555908,NA
1977-09-22,Flow,3.50999999046326,NA
1977-09-23,Flow,3.27999997138977,NA
1977-09-24,Flow,3.02999997138977,NA
1977-09-25,Flow,2.92000007629395,NA
1977-09-26,Flow,2.85999989509583,NA
1977-09-27,Flow,2.92000007629395,NA
1977-09-28,Flow,2.72000002861023,NA
1977-09-29,Flow,2.63000011444092,NA
1977-09-30,Flow,2.58999991416931,NA
1977-10-01,Flow,2.76999998092651,NA
1977-10-02,Flow,2.66000008583069,NA
1977-10-03,Flow,2.5,NA
1977-10-04,Flow,2.42000007629395,NA
1977-10-05,Flow,2.3199999332428,NA
1977-10-06,Flow,2.28999996185303,NA
1977-10-07,Flow,2.35999989509583,NA
1977-10-08,Flow,2.72000002861023,NA
1977-10-09,Flow,2.45000004768372,NA
1977-10-10,Flow,2.46000003814697,NA
1977-10-11,Flow,11,NA
1977-10-12,Flow,30,NA
1977-10-13,Flow,6.67999982833862,NA
1977-10-14,Flow,4.21999979019165,NA
1977-10-15,Flow,5.07000017166138,NA
1977-10-16,Flow,4.42000007629395,NA
1977-10-17,Flow,4.30000019073486,NA
1977-10-18,Flow,6.63000011444092,NA
1977-10-19,Flow,4.05000019073486,NA
1977-10-20,Flow,3.23000001907349,NA
1977-10-21,Flow,3.48000001907349,NA
1977-10-22,Flow,65.0999984741211,NA
1977-10-23,Flow,12.3000001907349,NA
1977-10-24,Flow,5.57999992370605,NA
1977-10-25,Flow,3.99000000953674,NA
1977-10-26,Flow,3.30999994277954,NA
1977-10-27,Flow,2.97000002861023,NA
1977-10-28,Flow,2.97000002861023,NA
1977-10-29,Flow,2.70000004768372,NA
1977-10-30,Flow,2.45000004768372,NA
1977-10-31,Flow,2.3199999332428,NA
1977-11-01,Flow,2.4300000667572,NA
1977-11-02,Flow,2.26999998092651,NA
1977-11-03,Flow,1.95000004768372,NA
1977-11-04,Flow,1.97000002861023,NA
1977-11-05,Flow,1.72000002861023,NA
1977-11-06,Flow,1.73000001907349,NA
1977-11-07,Flow,2.0699999332428,NA
1977-11-08,Flow,2.19000005722046,NA
1977-11-09,Flow,1.87999999523163,NA
1977-11-10,Flow,1.8400000333786,NA
1977-11-11,Flow,3.65000009536743,NA
1977-11-12,Flow,3,NA
1977-11-13,Flow,2.33999991416931,NA
1977-11-14,Flow,2.24000000953674,NA
1977-11-15,Flow,1.92999994754791,NA
1977-11-16,Flow,1.63999998569489,B
1977-11-17,Flow,1.52999997138977,B
1977-11-18,Flow,1.44000005722046,B
1977-11-19,Flow,1.37000000476837,B
1977-11-20,Flow,1.28999996185303,B
1977-11-21,Flow,1.25,B
1977-11-22,Flow,1.19000005722046,B
1977-11-23,Flow,1.12999999523163,B
